_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.154937334,0.0404270569,0.017880393,0.0299801938,0.0317398076,0.1104924224,0.034512426,0.0265823691,0.0295677421,-0.02329415,-0.005123516,-0.012687396,-0.016070355,0.0005544654,-0.000043592,0.0014548067,-0.000419032,-0.000776779,0.0324286012,-0.001403634,-0.000101964,0.0001644175
0.154937334,9.0053873E-7,7.1436081E-7,8.3114667E-7,8.2338345E-7,8.0934254E-7,8.2976371E-7,8.1749588E-7,8.2943091E-7,-1.495882E-7,-3.46519E-7,-3.346683E-7,-3.01928E-7,-8.019918E-8,2.7630537E-9,-3.618418E-8,-2.506332E-8,-1.550076E-8,-4.611865E-8,-2.201263E-8,-1.309733E-8,-7.79047E-9
0.154937334,7.1436081E-7,7.6706153E-6,9.5606197E-7,9.0260393E-7,9.4376165E-7,8.6563306E-7,8.7695167E-7,8.4180508E-7,-1.145864E-7,-2.454419E-7,-2.35948E-7,-2.037941E-7,-7.804536E-8,2.705977E-9,-8.730164E-7,-4.559053E-8,-3.093887E-8,-5.491502E-8,-3.607804E-8,-2.653375E-8,-2.164868E-8
0.154937334,8.3114667E-7,9.5606197E-7,3.1259652E-6,1.2761631E-6,1.0185935E-6,1.100231E-6,1.0808751E-6,9.8604212E-7,-1.646563E-7,-3.236909E-7,-3.027151E-7,-2.731715E-7,-7.426126E-8,2.5751927E-9,-7.423063E-8,-2.559716E-7,-6.455424E-8,-6.840742E-8,-5.431706E-8,-4.542878E-8,-2.886708E-8
0.154937334,8.2338345E-7,9.0260393E-7,1.2761631E-6,6.962881E-6,9.9797547E-7,1.0933182E-6,1.0741962E-6,1.0087834E-6,-1.628284E-7,-3.188662E-7,-3.092131E-7,-2.816175E-7,-6.969386E-8,2.4476041E-9,-7.100991E-8,-7.972058E-8,-5.987573E-7,-6.920337E-8,-5.702142E-8,-4.743582E-8,-3.481444E-8
0.154937334,8.0934254E-7,9.4376165E-7,1.0185935E-6,9.9797547E-7,6.1736343E-6,9.8494846E-7,1.0793793E-6,9.9245505E-7,-1.455462E-7,-3.185773E-7,-3.022956E-7,-2.669881E-7,-7.294366E-8,2.521418E-9,-7.425005E-8,-5.150013E-8,-3.976871E-8,-5.996633E-7,-4.482786E-8,-4.666551E-8,-3.31441E-8
0.154937334,8.2976371E-7,8.6563306E-7,1.100231E-6,1.0933182E-6,9.8494846E-7,3.4215937E-6,1.1439435E-6,1.0167813E-6,-1.574649E-7,-3.508931E-7,-3.27784E-7,-2.842137E-7,-7.19341E-8,2.4818426E-9,-5.929986E-8,-5.830147E-8,-4.665739E-8,-6.614797E-8,-2.893122E-7,-5.256592E-8,-3.215644E-8
0.154937334,8.1749588E-7,8.7695167E-7,1.0808751E-6,1.0741962E-6,1.0793793E-6,1.1439435E-6,6.7102175E-6,1.0474133E-6,-1.48936E-7,-3.431226E-7,-3.323493E-7,-2.901984E-7,-7.187756E-8,2.5342644E-9,-6.490705E-8,-5.949376E-8,-4.798678E-8,-8.503681E-8,-6.37781E-8,-6.681308E-7,-3.878099E-8
0.154937334,8.2943091E-7,8.4180508E-7,9.8604212E-7,1.0087834E-6,9.9245505E-7,1.0167813E-6,1.0474133E-6,1.8639349E-6,-1.93268E-7,-3.378141E-7,-3.24432E-7,-2.768506E-7,-7.460324E-8,2.5997947E-9,-5.226273E-8,-4.423582E-8,-3.828265E-8,-6.521672E-8,-4.425814E-8,-4.199502E-8,-1.215242E-7
0.154937334,-1.495882E-7,-1.145864E-7,-1.646563E-7,-1.628284E-7,-1.455462E-7,-1.574649E-7,-1.48936E-7,-1.93268E-7,4.137823E-7,-3.312998E-8,-9.780731E-8,-9.245712E-8,-4.233435E-9,1.415568E-10,2.2148889E-8,1.4567305E-8,2.2617284E-8,3.3767741E-8,1.2697486E-8,2.3225693E-8,7.9002194E-9
