_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1665621716,0.0904180399,0.2805717149,0.0893360842,0.0940338544,0.0812590305,0.0835605257,0.0841339834,0.0783714895,-0.025382752,-0.042232175,-0.046703929,-0.046788123,0.0005542413,-0.000039757,0.0262631668,-0.004446764,-0.005864131,-0.007700771,-0.004292252,-0.004955237,-0.002928027
0.1665621716,1.0407418E-6,8.2557819E-7,9.605462E-7,9.5157434E-7,9.3534743E-7,9.5894794E-7,9.4477015E-7,9.5856332E-7,-1.728773E-7,-4.004678E-7,-3.867722E-7,-3.489346E-7,-9.268523E-8,3.1932279E-9,-4.181763E-8,-2.896538E-8,-1.791404E-8,-5.329877E-8,-2.543973E-8,-1.513643E-8,-9.003353E-9
0.1665621716,8.2557819E-7,8.8648378E-6,1.1049093E-6,1.0431285E-6,1.090694E-6,1.0004017E-6,1.0134825E-6,9.7286401E-7,-1.324261E-7,-2.836542E-7,-2.726822E-7,-2.355224E-7,-9.019608E-8,3.1272651E-9,-1.008935E-6,-5.268843E-8,-3.575568E-8,-6.346463E-8,-4.169496E-8,-3.066474E-8,-2.501912E-8
0.1665621716,9.605462E-7,1.1049093E-6,3.6126404E-6,1.4748463E-6,1.1771763E-6,1.2715238E-6,1.2491544E-6,1.139557E-6,-1.902913E-7,-3.740857E-7,-3.498442E-7,-3.15701E-7,-8.582284E-8,2.9761193E-9,-8.578745E-8,-2.958234E-7,-7.460456E-8,-7.905764E-8,-6.277357E-8,-5.25015E-8,-3.336133E-8
0.1665621716,9.5157434E-7,1.0431285E-6,1.4748463E-6,8.0469178E-6,1.1533482E-6,1.2635347E-6,1.2414356E-6,1.1658388E-6,-1.881788E-7,-3.685098E-7,-3.573539E-7,-3.25462E-7,-8.054436E-8,2.8286666E-9,-8.20653E-8,-9.213211E-8,-6.919766E-7,-7.99775E-8,-6.589897E-8,-5.482101E-8,-4.023462E-8
0.1665621716,9.3534743E-7,1.090694E-6,1.1771763E-6,1.1533482E-6,7.1347949E-6,1.1382931E-6,1.2474257E-6,1.1469684E-6,-1.68206E-7,-3.681759E-7,-3.493594E-7,-3.085549E-7,-8.430011E-8,2.9139725E-9,-8.580988E-8,-5.951808E-8,-4.596022E-8,-6.930237E-7,-5.180702E-8,-5.393077E-8,-3.830424E-8
0.1665621716,9.5894794E-7,1.0004017E-6,1.2715238E-6,1.2635347E-6,1.1382931E-6,3.9542947E-6,1.3220417E-6,1.1750819E-6,-1.819803E-7,-4.05523E-7,-3.78816E-7,-3.284624E-7,-8.313337E-8,2.8682356E-9,-6.853213E-8,-6.737831E-8,-5.392138E-8,-7.644642E-8,-3.343547E-7,-6.07498E-8,-3.716281E-8
0.1665621716,9.4477015E-7,1.0134825E-6,1.2491544E-6,1.2414356E-6,1.2474257E-6,1.3220417E-6,7.7549176E-6,1.210483E-6,-1.721235E-7,-3.965427E-7,-3.840921E-7,-3.353788E-7,-8.306803E-8,2.9288189E-9,-7.50123E-8,-6.875623E-8,-5.545774E-8,-9.827602E-8,-7.370758E-8,-7.721507E-7,-4.481872E-8
0.1665621716,9.5856332E-7,9.7286401E-7,1.139557E-6,1.1658388E-6,1.1469684E-6,1.1750819E-6,1.210483E-6,2.1541272E-6,-2.233575E-7,-3.904076E-7,-3.749421E-7,-3.199529E-7,-8.621807E-8,3.0045515E-9,-6.03994E-8,-5.112281E-8,-4.42428E-8,-7.537017E-8,-5.11486E-8,-4.853314E-8,-1.40444E-7
0.1665621716,-1.728773E-7,-1.324261E-7,-1.902913E-7,-1.881788E-7,-1.68206E-7,-1.819803E-7,-1.721235E-7,-2.233575E-7,4.7820322E-7,-3.828792E-8,-1.130347E-7,-1.068516E-7,-4.892529E-9,1.635955E-10,2.5597204E-8,1.6835259E-8,2.6138523E-8,3.9024972E-8,1.4674332E-8,2.6841654E-8,9.1301885E-9
