_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1849172289,0.0455054003,0.0396485793,0.0441306975,0.0404271362,0.0441481368,0.04386343,0.0486655918,0.0467397405,0.0474863184,0.0531959459,0.0564966344,-0.007676355,0.0187044373,0.023108047,0.0008403098,-0.003096606,0.0000580854,-0.002473124,0.0001374202,0.0001739768,-0.001990917,0.0166238244,-0.000360148,-0.001579366
0.1849172289,4.1727708E-7,1.6663905E-7,1.6860588E-7,1.7207112E-7,1.7502169E-7,1.7785534E-7,1.7977671E-7,1.8214479E-7,1.8493373E-7,1.8755026E-7,1.905707E-7,-3.400452E-8,-7.896602E-8,-8.238905E-8,-7.915465E-8,-1.42041E-8,3.671124E-10,-1.542842E-8,-7.483115E-9,-5.928504E-9,-1.496485E-8,-5.251525E-9,-4.722149E-9,-3.170082E-9
0.1849172289,1.6663905E-7,4.4256613E-7,1.7009679E-7,1.7343245E-7,1.7626927E-7,1.7897307E-7,1.8098847E-7,1.8342317E-7,1.8622891E-7,1.8888114E-7,1.9201991E-7,-3.393576E-8,-8.126628E-8,-8.599256E-8,-8.171173E-8,-1.441642E-8,3.706637E-10,-1.480647E-8,-6.495998E-9,-3.919842E-9,-1.413422E-8,-4.637656E-9,-3.744709E-9,-2.258282E-9
0.1849172289,1.6860588E-7,1.7009679E-7,4.3369454E-7,1.7556561E-7,1.7851396E-7,1.8131917E-7,1.8338195E-7,1.8587359E-7,1.8876456E-7,1.9149054E-7,1.9470444E-7,-3.353565E-8,-8.232847E-8,-8.746778E-8,-8.169407E-8,-1.453142E-8,3.714122E-10,-1.538523E-8,-6.866628E-9,-4.418202E-9,-1.431447E-8,-5.014205E-9,-3.990617E-9,-2.172902E-9
0.1849172289,1.7207112E-7,1.7343245E-7,1.7556561E-7,4.2338787E-7,1.8242483E-7,1.8545681E-7,1.876083E-7,1.902203E-7,1.9326374E-7,1.9612605E-7,1.9947864E-7,-3.386163E-8,-8.273122E-8,-8.837742E-8,-8.150274E-8,-1.470631E-8,3.724921E-10,-1.636615E-8,-7.375611E-9,-4.88607E-9,-1.484679E-8,-5.648493E-9,-5.02809E-9,-2.796973E-9
0.1849172289,1.7502169E-7,1.7626927E-7,1.7851396E-7,1.8242483E-7,4.1109103E-7,1.8902981E-7,1.9126043E-7,1.9397888E-7,1.9716586E-7,2.0015558E-7,2.0363328E-7,-3.386639E-8,-8.323054E-8,-8.925155E-8,-8.14243E-8,-1.483967E-8,3.722981E-10,-1.734755E-8,-8.05827E-9,-5.295208E-9,-1.546709E-8,-6.226467E-9,-5.714201E-9,-3.168597E-9
0.1849172289,1.7785534E-7,1.7897307E-7,1.8131917E-7,1.8545681E-7,1.8902981E-7,4.0452986E-7,1.9481788E-7,1.9763397E-7,2.0096613E-7,2.0408653E-7,2.0767547E-7,-3.377039E-8,-8.362323E-8,-9.012823E-8,-8.094661E-8,-1.496568E-8,3.726213E-10,-1.863185E-8,-8.419262E-9,-5.678955E-9,-1.674858E-8,-6.864482E-9,-6.545406E-9,-3.689319E-9
0.1849172289,1.7977671E-7,1.8098847E-7,1.8338195E-7,1.876083E-7,1.9126043E-7,1.9481788E-7,4.0198618E-7,2.0017879E-7,2.0362371E-7,2.0685618E-7,2.1060461E-7,-3.372831E-8,-8.41386E-8,-9.11932E-8,-8.171095E-8,-1.516774E-8,3.743419E-10,-1.91997E-8,-8.082944E-9,-5.031065E-9,-1.677405E-8,-7.046272E-9,-6.50478E-9,-3.560522E-9
0.1849172289,1.8214479E-7,1.8342317E-7,1.8587359E-7,1.902203E-7,1.9397888E-7,1.9763397E-7,2.0017879E-7,4.033215E-7,2.0682078E-7,2.1018269E-7,2.141182E-7,-3.350049E-8,-8.471154E-8,-9.21487E-8,-8.26748E-8,-1.53977E-8,3.760524E-10,-1.948554E-8,-7.974298E-9,-4.557611E-9,-1.650843E-8,-7.236243E-9,-6.307466E-9,-3.610018E-9
0.1849172289,1.8493373E-7,1.8622891E-7,1.8876456E-7,1.9326374E-7,1.9716586E-7,2.0096613E-7,2.0362371E-7,2.0682078E-7,4.0788586E-7,2.1403714E-7,2.1814304E-7,-3.34302E-8,-8.54876E-8,-9.322065E-8,-8.340301E-8,-1.56095E-8,3.773661E-10,-2.013943E-8,-8.044187E-9,-4.404093E-9,-1.685719E-8,-7.666015E-9,-6.415028E-9,-3.64911E-9
