_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.2812482193,0.0639363289,0.0678157771,0.0702894405,-0.018969561,0.0695731279,0.0788394214,-0.019463986,0.0941990204,0.0633506551,0.0934550721,-0.000670736
0.2812482193,0.00001302,2.0862974E-6,2.070129E-6,2.0759966E-6,2.0940505E-6,2.1014857E-6,2.100423E-6,2.1155069E-6,2.1207191E-6,2.1246354E-6,-1.529356E-7
0.2812482193,2.0862974E-6,0.0000126594,2.0907065E-6,2.0966324E-6,2.1148658E-6,2.122375E-6,2.1213017E-6,2.1365355E-6,2.1417995E-6,2.1457547E-6,-1.544558E-7
0.2812482193,2.070129E-6,2.0907065E-6,0.000012142,2.0803839E-6,2.098476E-6,2.105927E-6,2.104862E-6,2.1199778E-6,2.1252009E-6,2.1291255E-6,-1.532588E-7
0.2812482193,2.0759966E-6,2.0966324E-6,2.0803839E-6,0.0000119751,2.104424E-6,2.1118961E-6,2.1108281E-6,2.1259867E-6,2.1312247E-6,2.1351604E-6,-1.536932E-7
0.2812482193,2.0940505E-6,2.1148658E-6,2.098476E-6,2.104424E-6,0.0000114068,2.1302622E-6,2.1291849E-6,2.1444753E-6,2.1497589E-6,2.1537288E-6,-1.550298E-7
0.2812482193,2.1014857E-6,2.122375E-6,2.105927E-6,2.1118961E-6,2.1302622E-6,0.0000113959,2.1367449E-6,2.1520896E-6,2.1573919E-6,2.1613759E-6,-1.555802E-7
0.2812482193,2.100423E-6,2.1213017E-6,2.104862E-6,2.1108281E-6,2.1291849E-6,2.1367449E-6,0.0000105947,2.1510014E-6,2.1563009E-6,2.1602829E-6,-1.555016E-7
0.2812482193,2.1155069E-6,2.1365355E-6,2.1199778E-6,2.1259867E-6,2.1444753E-6,2.1520896E-6,2.1510014E-6,0.0000100591,2.1717861E-6,2.1757967E-6,-1.566183E-7
0.2812482193,2.1207191E-6,2.1417995E-6,2.1252009E-6,2.1312247E-6,2.1497589E-6,2.1573919E-6,2.1563009E-6,2.1717861E-6,9.6684297E-6,2.1811574E-6,-1.570041E-7
0.2812482193,2.1246354E-6,2.1457547E-6,2.1291255E-6,2.1351604E-6,2.1537288E-6,2.1613759E-6,2.1602829E-6,2.1757967E-6,2.1811574E-6,9.1189652E-6,-1.572941E-7
0.2812482193,-1.529356E-7,-1.544558E-7,-1.532588E-7,-1.536932E-7,-1.550298E-7,-1.555802E-7,-1.555016E-7,-1.566183E-7,-1.570041E-7,-1.572941E-7,1.1322347E-8
