_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.0734768305,0.0061158294,0.0063119403,0.0059466538,0.0049913416,0.0053123688,0.0043405561,0.0046135331,0.0083078648,0.0046134455,0.0101576422,0.0078494264,-0.002439487,-0.000723104,0.0030025113,0.0059046473,-0.000247509,3.7930721E-6,-0.000038033,0.001530602,0.009706869,0.0003995978,0.0005535256,0.0002555949,-0.000080154
0.0734768305,1.1366546E-6,3.3508561E-7,3.4042368E-7,3.4222915E-7,3.4349316E-7,3.4415172E-7,3.4891779E-7,3.5068807E-7,3.5147746E-7,3.5459609E-7,3.5578389E-7,-5.790025E-8,-7.397673E-8,-5.176658E-8,-2.974611E-8,-2.775191E-8,7.274675E-10,-2.442154E-8,-2.576394E-8,-2.31025E-8,-3.645041E-8,-2.954457E-8,-2.043168E-8,-3.048225E-8
0.0734768305,3.3508561E-7,8.7145692E-7,3.3272335E-7,3.3416078E-7,3.3511037E-7,3.3559672E-7,3.3989292E-7,3.4134415E-7,3.4196488E-7,3.4487156E-7,3.460224E-7,-5.879521E-8,-7.093099E-8,-4.177152E-8,-1.544901E-8,-2.835627E-8,7.354725E-10,-2.182696E-8,-2.434688E-8,-2.330402E-8,-3.284447E-8,-2.862215E-8,-2.000352E-8,-2.886007E-8
0.0734768305,3.4042368E-7,3.3272335E-7,8.5422405E-7,3.4022711E-7,3.4161574E-7,3.4248274E-7,3.4734903E-7,3.4908261E-7,3.4987105E-7,3.5290514E-7,3.5405626E-7,-5.993235E-8,-7.159252E-8,-4.014513E-8,-1.398911E-8,-2.841768E-8,7.345658E-10,-2.338597E-8,-2.456266E-8,-2.214248E-8,-3.229587E-8,-2.7976E-8,-1.914452E-8,-2.714024E-8
0.0734768305,3.4222915E-7,3.3416078E-7,3.4022711E-7,8.2419756E-7,3.4464857E-7,3.4574115E-7,3.5103998E-7,3.5302738E-7,3.5389074E-7,3.569992E-7,3.5811433E-7,-6.131878E-8,-7.234543E-8,-3.803887E-8,-9.937911E-9,-2.818637E-8,7.296617E-10,-2.461673E-8,-2.658868E-8,-2.165666E-8,-3.175222E-8,-2.655198E-8,-1.979146E-8,-2.485586E-8
0.0734768305,3.4349316E-7,3.3511037E-7,3.4161574E-7,3.4464857E-7,8.0755613E-7,3.4831097E-7,3.5402379E-7,3.5624664E-7,3.5721121E-7,3.6035659E-7,3.6146135E-7,-6.334763E-8,-7.382975E-8,-3.755802E-8,-8.695167E-9,-2.797224E-8,7.246737E-10,-2.564428E-8,-2.697098E-8,-2.35088E-8,-3.063116E-8,-2.469983E-8,-1.940834E-8,-2.291409E-8
0.0734768305,3.4415172E-7,3.3559672E-7,3.4248274E-7,3.4574115E-7,3.4831097E-7,7.9529384E-7,3.561545E-7,3.5857843E-7,3.597435E-7,3.6298258E-7,3.6414655E-7,-6.324377E-8,-7.597624E-8,-3.83988E-8,-7.175263E-9,-2.793946E-8,7.220673E-10,-2.629431E-8,-2.514459E-8,-2.221202E-8,-3.012592E-8,-2.284686E-8,-1.952469E-8,-2.150177E-8
0.0734768305,3.4891779E-7,3.3989292E-7,3.4734903E-7,3.5103998E-7,3.5402379E-7,3.561545E-7,7.9372879E-7,3.6554223E-7,3.6692106E-7,3.7029105E-7,3.7149835E-7,-6.586355E-8,-7.702312E-8,-3.900399E-8,-5.783137E-9,-2.797111E-8,7.229022E-10,-2.776457E-8,-2.459973E-8,-2.203579E-8,-3.011537E-8,-2.303629E-8,-2.029999E-8,-1.95808E-8
0.0734768305,3.5068807E-7,3.4134415E-7,3.4908261E-7,3.5302738E-7,3.5624664E-7,3.5857843E-7,3.6554223E-7,7.7550525E-7,3.6997748E-7,3.7345344E-7,3.747083E-7,-6.767915E-8,-7.998534E-8,-3.908461E-8,-5.63999E-9,-2.766637E-8,7.13804E-10,-2.856737E-8,-2.451711E-8,-2.204163E-8,-3.116432E-8,-2.309505E-8,-2.093348E-8,-1.852032E-8
0.0734768305,3.5147746E-7,3.4196488E-7,3.4987105E-7,3.5389074E-7,3.5721121E-7,3.597435E-7,3.6692106E-7,3.6997748E-7,7.6296214E-7,3.752287E-7,3.7657362E-7,-6.912263E-8,-8.233723E-8,-4.336052E-8,-4.717083E-9,-2.768955E-8,7.150443E-10,-2.885696E-8,-2.326153E-8,-2.022268E-8,-3.101557E-8,-2.323572E-8,-2.109452E-8,-1.766309E-8
