_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.3225949799,0.0690626128,0.0787874283,0.1108119756,-0.005566194,0.0777607808,0.0699963931,-0.014643007,0.0610069918,0.05898869,0.1004539596,-0.00120023
0.3225949799,1.6515239E-6,2.9017514E-7,2.924868E-7,2.9698737E-7,2.989669E-7,3.0213283E-7,3.0420018E-7,3.0453574E-7,3.0734139E-7,3.0956752E-7,-2.070623E-8
0.3225949799,2.9017514E-7,1.6171549E-6,2.9404816E-7,2.9857276E-7,3.0056286E-7,3.0374568E-7,3.0582408E-7,3.0616142E-7,3.0898206E-7,3.1122006E-7,-2.081676E-8
0.3225949799,2.924868E-7,2.9404816E-7,1.5624343E-6,3.0095133E-7,3.0295728E-7,3.0616546E-7,3.0826041E-7,3.0860044E-7,3.1144355E-7,3.1369938E-7,-2.09826E-8
0.3225949799,2.9698737E-7,2.9857276E-7,3.0095133E-7,1.5411276E-6,3.0761897E-7,3.1087651E-7,3.1300369E-7,3.1334896E-7,3.1623581E-7,3.1852636E-7,-2.130546E-8
0.3225949799,2.989669E-7,3.0056286E-7,3.0295728E-7,3.0761897E-7,1.4813634E-6,3.1294862E-7,3.1508998E-7,3.1543755E-7,3.1834364E-7,3.2064946E-7,-2.144747E-8
0.3225949799,3.0213283E-7,3.0374568E-7,3.0616546E-7,3.1087651E-7,3.1294862E-7,1.490707E-6,3.1842664E-7,3.1877789E-7,3.2171475E-7,3.2404499E-7,-2.167459E-8
0.3225949799,3.0420018E-7,3.0582408E-7,3.0826041E-7,3.1300369E-7,3.1508998E-7,3.1842664E-7,1.3761427E-6,3.2095913E-7,3.239161E-7,3.2626227E-7,-2.18229E-8
0.3225949799,3.0453574E-7,3.0616142E-7,3.0860044E-7,3.1334896E-7,3.1543755E-7,3.1877789E-7,3.2095913E-7,1.3192852E-6,3.242734E-7,3.2662217E-7,-2.184697E-8
0.3225949799,3.0734139E-7,3.0898206E-7,3.1144355E-7,3.1623581E-7,3.1834364E-7,3.2171475E-7,3.239161E-7,3.242734E-7,1.2821665E-6,3.296313E-7,-2.204824E-8
0.3225949799,3.0956752E-7,3.1122006E-7,3.1369938E-7,3.1852636E-7,3.2064946E-7,3.2404499E-7,3.2626227E-7,3.2662217E-7,3.296313E-7,1.2560122E-6,-2.220794E-8
0.3225949799,-2.070623E-8,-2.081676E-8,-2.09826E-8,-2.130546E-8,-2.144747E-8,-2.167459E-8,-2.18229E-8,-2.184697E-8,-2.204824E-8,-2.220794E-8,1.4854358E-9
