_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1661924939,0.0254137012,0.0299902524,0.0287950775,0.0274919566,0.0320752069,0.0274881931,0.0265243574,0.031430212,0.0217450738,0.0204849209,0.0241970989,0.0061232212,0.0049747997,0.0112240254,0.0193365853,-0.000643516,6.8622767E-6,-0.001080596,0.0010526334,-0.001451474,0.007768436,0.003040241,0.0028117223,0.0094352153
0.1661924939,7.5612628E-6,4.6453437E-6,4.6185835E-6,4.6121067E-6,4.6426853E-6,4.6294277E-6,4.6227601E-6,4.6290609E-6,4.6204351E-6,4.6471284E-6,4.6176052E-6,-5.037311E-7,-1.410628E-6,-1.446552E-6,-1.347184E-6,-1.178265E-7,3.0904724E-9,-5.211336E-7,-3.834427E-7,-3.421277E-7,-4.907622E-7,-3.940272E-7,-3.97035E-7,-3.887374E-7
0.1661924939,4.6453437E-6,7.0599223E-6,4.5620418E-6,4.5565435E-6,4.5873261E-6,4.5755195E-6,4.570613E-6,4.5778481E-6,4.5692782E-6,4.5956619E-6,4.568452E-6,-5.022481E-7,-1.428841E-6,-1.468298E-6,-1.366458E-6,-1.199455E-7,3.0955219E-9,-5.096505E-7,-3.806838E-7,-3.273746E-7,-4.842178E-7,-3.864644E-7,-3.852466E-7,-3.817726E-7
0.1661924939,4.6185835E-6,4.5620418E-6,7.0823179E-6,4.5324885E-6,4.5638116E-6,4.5532466E-6,4.5490915E-6,4.5567756E-6,4.5489186E-6,4.5752966E-6,4.5487899E-6,-5.113057E-7,-1.430565E-6,-1.480023E-6,-1.376596E-6,-1.205192E-7,3.0794677E-9,-5.065788E-7,-3.707959E-7,-3.227013E-7,-4.785137E-7,-3.81666E-7,-3.854652E-7,-3.72834E-7
0.1661924939,4.6121067E-6,4.5565435E-6,4.5324885E-6,7.1352335E-6,4.5610773E-6,4.5518126E-6,4.5485377E-6,4.5566901E-6,4.5496247E-6,4.5760374E-6,4.5502455E-6,-5.109305E-7,-1.455315E-6,-1.512933E-6,-1.40337E-6,-1.223613E-7,3.1168017E-9,-5.079527E-7,-3.641172E-7,-3.1789E-7,-4.742035E-7,-3.743839E-7,-3.845829E-7,-3.637907E-7
0.1661924939,4.6426853E-6,4.5873261E-6,4.5638116E-6,4.5610773E-6,7.3598365E-6,4.5873764E-6,4.5849152E-6,4.5935341E-6,4.587087E-6,4.6139004E-6,4.5886026E-6,-5.092088E-7,-1.499805E-6,-1.570423E-6,-1.454661E-6,-1.231388E-7,3.1238417E-9,-5.069865E-7,-3.590159E-7,-3.166824E-7,-4.717604E-7,-3.730603E-7,-3.719711E-7,-3.596011E-7
0.1661924939,4.6294277E-6,4.5755195E-6,4.5532466E-6,4.5518126E-6,4.5873764E-6,7.4746967E-6,4.5808927E-6,4.5903906E-6,4.5848485E-6,4.6119831E-6,4.5881644E-6,-5.128549E-7,-1.527355E-6,-1.623218E-6,-1.500845E-6,-1.244492E-7,3.1361505E-9,-5.03892E-7,-3.479403E-7,-3.100696E-7,-4.690723E-7,-3.672989E-7,-3.622298E-7,-3.511407E-7
0.1661924939,4.6227601E-6,4.570613E-6,4.5490915E-6,4.5485377E-6,4.5849152E-6,4.5808927E-6,7.3560093E-6,4.591522E-6,4.5862652E-6,4.6137339E-6,4.5910928E-6,-5.228934E-7,-1.54705E-6,-1.663969E-6,-1.520719E-6,-1.255261E-7,3.1343926E-9,-4.954462E-7,-3.440751E-7,-3.046798E-7,-4.739928E-7,-3.616118E-7,-3.621075E-7,-3.454734E-7
0.1661924939,4.6290609E-6,4.5778481E-6,4.5567756E-6,4.5566901E-6,4.5935341E-6,4.5903906E-6,4.591522E-6,7.2535803E-6,4.5981369E-6,4.6261664E-6,4.6046415E-6,-5.182987E-7,-1.564356E-6,-1.689049E-6,-1.536356E-6,-1.251125E-7,3.0850439E-9,-5.027771E-7,-3.39515E-7,-3.026095E-7,-4.926084E-7,-3.621029E-7,-3.664978E-7,-3.479754E-7
0.1661924939,4.6204351E-6,4.5692782E-6,4.5489186E-6,4.5496247E-6,4.587087E-6,4.5848485E-6,4.5862652E-6,4.5981369E-6,7.2195127E-6,4.6228624E-6,4.6022254E-6,-5.174425E-7,-1.574887E-6,-1.714458E-6,-1.549028E-6,-1.248287E-7,3.059771E-9,-5.258888E-7,-3.341761E-7,-3.005264E-7,-4.772851E-7,-3.538631E-7,-3.645558E-7,-3.425506E-7
0.1661924939,4.6471284E-6,4.5956619E-6,4.5752966E-6,4.5760374E-6,4.6139004E-6,4.6119831E-6,4.6137339E-6,4.6261664E-6,4.6228624E-6,7.1746749E-6,4.631469E-6,-5.197406E-7,-1.58451E-6,-1.740492E-6,-1.559439E-6,-1.232505E-7,3.0010759E-9,-5.307786E-7,-3.357017E-7,-3.030918E-7,-4.881058E-7,-3.595861E-7,-3.726334E-7,-3.459809E-7
0.1661924939,4.6176052E-6,4.568452E-6,4.5487899E-6,4.5502455E-6,4.5886026E-6,4.5881644E-6,4.5910928E-6,4.6046415E-6,4.6022254E-6,4.631469E-6,6.9147688E-6,-5.244842E-7,-1.593873E-6,-1.776743E-6,-1.573712E-6,-1.224161E-7,2.9478565E-9,-5.428625E-7,-3.301885E-7,-2.962976E-7,-4.836484E-7,-3.594016E-7,-3.744471E-7,-3.472311E-7
0.1661924939,-5.037311E-7,-5.022481E-7,-5.113057E-7,-5.109305E-7,-5.092088E-7,-5.128549E-7,-5.228934E-7,-5.182987E-7,-5.174425E-7,-5.197406E-7,-5.244842E-7,1.6260102E-6,-4.730419E-8,-1.362273E-7,-1.338026E-7,1.062869E-10,1.306325E-10,7.354825E-8,4.3034504E-8,3.4238475E-8,1.1017742E-7,1.3051065E-8,7.7592837E-8,1.0080337E-8
0.1661924939,-1.410628E-6,-1.428841E-6,-1.430565E-6,-1.455315E-6,-1.499805E-6,-1.527355E-6,-1.54705E-6,-1.564356E-6,-1.574887E-6,-1.58451E-6,-1.593873E-6,-4.730419E-8,2.1182359E-6,1.592448E-6,1.5494793E-6,3.5954004E-9,4.407385E-10,1.1151396E-7,-2.891207E-8,-1.845675E-8,-2.278128E-9,-4.87243E-8,-3.759521E-8,-3.115436E-8
