_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.3461447937,0.096582507,0.1004309135,0.1071669758,-0.002092224,0.088309641,0.067163057,-0.0153722,0.084951424,0.0726659974,0.1047789807,-0.00119365
0.3461447937,0.0000216446,4.0577978E-6,4.0480147E-6,4.0207668E-6,4.0317914E-6,3.9929733E-6,4.0675006E-6,4.0768474E-6,4.1327481E-6,4.1519427E-6,-2.923128E-7
0.3461447937,4.0577978E-6,0.0000209833,4.0788373E-6,4.051382E-6,4.0624905E-6,4.0233769E-6,4.0984716E-6,4.1078896E-6,4.164216E-6,4.1835567E-6,-2.945385E-7
0.3461447937,4.0480147E-6,4.0788373E-6,0.0000200765,4.0416143E-6,4.0526961E-6,4.0136768E-6,4.0885904E-6,4.0979857E-6,4.1541763E-6,4.1734704E-6,-2.938284E-7
0.3461447937,4.0207668E-6,4.051382E-6,4.0416143E-6,0.0000210604,4.0254167E-6,3.98666E-6,4.0610694E-6,4.0704015E-6,4.1262138E-6,4.1453781E-6,-2.918506E-7
0.3461447937,4.0317914E-6,4.0624905E-6,4.0526961E-6,4.0254167E-6,0.0000218133,3.9975911E-6,4.0722045E-6,4.0815622E-6,4.1375275E-6,4.1567443E-6,-2.926508E-7
0.3461447937,3.9929733E-6,4.0233769E-6,4.0136768E-6,3.98666E-6,3.9975911E-6,0.0000212461,4.0329973E-6,4.0422649E-6,4.0976914E-6,4.1167232E-6,-2.898332E-7
0.3461447937,4.0675006E-6,4.0984716E-6,4.0885904E-6,4.0610694E-6,4.0722045E-6,4.0329973E-6,0.0000198694,4.1177121E-6,4.1741732E-6,4.1935602E-6,-2.952428E-7
0.3461447937,4.0768474E-6,4.1078896E-6,4.0979857E-6,4.0704015E-6,4.0815622E-6,4.0422649E-6,4.1177121E-6,0.0000200032,4.1837652E-6,4.2031967E-6,-2.959213E-7
0.3461447937,4.1327481E-6,4.164216E-6,4.1541763E-6,4.1262138E-6,4.1375275E-6,4.0976914E-6,4.1741732E-6,4.1837652E-6,0.0000203217,4.2608299E-6,-2.999789E-7
0.3461447937,4.1519427E-6,4.1835567E-6,4.1734704E-6,4.1453781E-6,4.1567443E-6,4.1167232E-6,4.1935602E-6,4.2031967E-6,4.2608299E-6,0.0000194261,-3.013721E-7
0.3461447937,-2.923128E-7,-2.945385E-7,-2.938284E-7,-2.918506E-7,-2.926508E-7,-2.898332E-7,-2.952428E-7,-2.959213E-7,-2.999789E-7,-3.013721E-7,2.121776E-8
