_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1476536871,0.0553509265,0.0399598679,0.0361854724,0.0317389599,0.0364705292,0.0313757888,0.0329411182,0.035170175,0.0342722448,0.0375727621,0.033337077,-0.008555235,-0.000484824,-0.003774466,-0.005749481,-0.000617915,-2.310444E-7,0.0020625674,0.0059761586,-0.00126656,0.0016493407,-0.00065784,-0.00099858,-0.000328419
0.1476536871,5.9684302E-6,3.6667697E-6,3.6456467E-6,3.6405343E-6,3.6646713E-6,3.6542065E-6,3.6489435E-6,3.653917E-6,3.6471083E-6,3.6681784E-6,3.6448745E-6,-3.976167E-7,-1.11347E-6,-1.141826E-6,-1.06339E-6,-9.300554E-8,2.4394429E-9,-4.113532E-7,-3.026679E-7,-2.700561E-7,-3.873797E-7,-3.110226E-7,-3.133968E-7,-3.068471E-7
0.1476536871,3.6667697E-6,5.5727005E-6,3.601016E-6,3.5966759E-6,3.6209739E-6,3.6116544E-6,3.6077815E-6,3.6134925E-6,3.6067279E-6,3.6275537E-6,3.6060758E-6,-3.96446E-7,-1.127846E-6,-1.158991E-6,-1.078604E-6,-9.467816E-8,2.4434287E-9,-4.022891E-7,-3.004901E-7,-2.584109E-7,-3.82214E-7,-3.05053E-7,-3.040917E-7,-3.013496E-7
0.1476536871,3.6456467E-6,3.601016E-6,5.5903784E-6,3.5776882E-6,3.6024129E-6,3.5940735E-6,3.5907937E-6,3.5968591E-6,3.5906572E-6,3.6114785E-6,3.5905556E-6,-4.035956E-7,-1.129206E-6,-1.168246E-6,-1.086607E-6,-9.513096E-8,2.4307564E-9,-3.998644E-7,-2.926852E-7,-2.54722E-7,-3.777115E-7,-3.012654E-7,-3.042643E-7,-2.94294E-7
0.1476536871,3.6405343E-6,3.5966759E-6,3.5776882E-6,5.6321469E-6,3.6002546E-6,3.5929416E-6,3.5903565E-6,3.5967916E-6,3.5912146E-6,3.6120632E-6,3.5917046E-6,-4.032995E-7,-1.148742E-6,-1.194223E-6,-1.10774E-6,-9.658502E-8,2.4602258E-9,-4.00949E-7,-2.874134E-7,-2.509242E-7,-3.743092E-7,-2.955173E-7,-3.035678E-7,-2.871556E-7
0.1476536871,3.6646713E-6,3.6209739E-6,3.6024129E-6,3.6002546E-6,5.8094357E-6,3.6210136E-6,3.6190709E-6,3.6258742E-6,3.6207852E-6,3.6419501E-6,3.6219815E-6,-4.019404E-7,-1.183861E-6,-1.239602E-6,-1.148226E-6,-9.719874E-8,2.4657827E-9,-4.001863E-7,-2.833867E-7,-2.499711E-7,-3.723808E-7,-2.944725E-7,-2.936128E-7,-2.838486E-7
0.1476536871,3.6542065E-6,3.6116544E-6,3.5940735E-6,3.5929416E-6,3.6210136E-6,5.9000998E-6,3.6158958E-6,3.6233929E-6,3.6190182E-6,3.6404367E-6,3.6216356E-6,-4.048185E-7,-1.205607E-6,-1.281276E-6,-1.184682E-6,-9.823314E-8,2.4754986E-9,-3.977437E-7,-2.746442E-7,-2.447513E-7,-3.70259E-7,-2.899248E-7,-2.859236E-7,-2.771704E-7
0.1476536871,3.6489435E-6,3.6077815E-6,3.5907937E-6,3.5903565E-6,3.6190709E-6,3.6158958E-6,5.8064147E-6,3.6242859E-6,3.6201365E-6,3.6418187E-6,3.6239471E-6,-4.127423E-7,-1.221153E-6,-1.313442E-6,-1.200369E-6,-9.908317E-8,2.474111E-9,-3.91077E-7,-2.715933E-7,-2.404969E-7,-3.741429E-7,-2.854357E-7,-2.858271E-7,-2.72697E-7
0.1476536871,3.653917E-6,3.6134925E-6,3.5968591E-6,3.5967916E-6,3.6258742E-6,3.6233929E-6,3.6242859E-6,5.7255631E-6,3.6295073E-6,3.6516322E-6,3.6346417E-6,-4.091155E-7,-1.234814E-6,-1.333239E-6,-1.212712E-6,-9.875669E-8,2.4351579E-9,-3.968636E-7,-2.679938E-7,-2.388627E-7,-3.88837E-7,-2.858234E-7,-2.892925E-7,-2.74672E-7
0.1476536871,3.6471083E-6,3.6067279E-6,3.5906572E-6,3.5912146E-6,3.6207852E-6,3.6190182E-6,3.6201365E-6,3.6295073E-6,5.6986721E-6,3.6490243E-6,3.6327346E-6,-4.084396E-7,-1.243126E-6,-1.353296E-6,-1.222715E-6,-9.853268E-8,2.415209E-9,-4.151067E-7,-2.637795E-7,-2.372184E-7,-3.767417E-7,-2.793193E-7,-2.877596E-7,-2.7039E-7
0.1476536871,3.6681784E-6,3.6275537E-6,3.6114785E-6,3.6120632E-6,3.6419501E-6,3.6404367E-6,3.6418187E-6,3.6516322E-6,3.6490243E-6,5.6632796E-6,3.6558178E-6,-4.102536E-7,-1.250722E-6,-1.373845E-6,-1.230932E-6,-9.728691E-8,2.3688783E-9,-4.189664E-7,-2.649838E-7,-2.392434E-7,-3.852829E-7,-2.838368E-7,-2.941356E-7,-2.730977E-7
0.1476536871,3.6448745E-6,3.6060758E-6,3.5905556E-6,3.5917046E-6,3.6219815E-6,3.6216356E-6,3.6239471E-6,3.6346417E-6,3.6327346E-6,3.6558178E-6,5.4581246E-6,-4.139979E-7,-1.258112E-6,-1.40246E-6,-1.242199E-6,-9.662834E-8,2.32687E-9,-4.285047E-7,-2.60632E-7,-2.338804E-7,-3.817645E-7,-2.836911E-7,-2.955672E-7,-2.740844E-7
0.1476536871,-3.976167E-7,-3.96446E-7,-4.035956E-7,-4.032995E-7,-4.019404E-7,-4.048185E-7,-4.127423E-7,-4.091155E-7,-4.084396E-7,-4.102536E-7,-4.139979E-7,1.2834798E-6,-3.733923E-8,-1.075301E-7,-1.056162E-7,8.389679E-11,1.031139E-10,5.8054799E-8,3.3968986E-8,2.7025902E-8,8.6967776E-8,1.0301767E-8,6.1247365E-8,7.9568442E-9
0.1476536871,-1.11347E-6,-1.127846E-6,-1.129206E-6,-1.148742E-6,-1.183861E-6,-1.205607E-6,-1.221153E-6,-1.234814E-6,-1.243126E-6,-1.250722E-6,-1.258112E-6,-3.733923E-8,1.6720148E-6,1.2569877E-6,1.2230707E-6,2.8380043E-9,3.478939E-10,8.802277E-8,-2.282154E-8,-1.456871E-8,-1.798224E-9,-3.846019E-8,-2.967552E-8,-2.459148E-8
0.1476536871,-1.141826E-6,-1.158991E-6,-1.168246E-6,-1.194223E-6,-1.239602E-6,-1.281276E-6,-1.313442E-6,-1.333239E-6,-1.353296E-6,-1.373845E-6,-1.40246E-6,-1.075301E-7,1.2569877E-6,2.0781128E-6,1.2795277E-6,1.8656638E-8,4.760939E-11,9.2323375E-8,-2.017088E-8,-2.601569E-8,1.5099829E-8,-5.361563E-8,-2.858473E-8,-4.758584E-8
0.1476536871,-1.06339E-6,-1.078604E-6,-1.086607E-6,-1.10774E-6,-1.148226E-6,-1.184682E-6,-1.200369E-6,-1.212712E-6,-1.222715E-6,-1.230932E-6,-1.242199E-6,-1.056162E-7,1.2230707E-6,1.2795277E-6,2.3925405E-6,5.2540524E-9,2.635447E-10,9.3453565E-8,-4.365889E-9,-2.198979E-8,4.052328E-8,-4.010723E-8,-1.83751E-8,-6.224587E-8
0.1476536871,-9.300554E-8,-9.467816E-8,-9.513096E-8,-9.658502E-8,-9.719874E-8,-9.823314E-8,-9.908317E-8,-9.875669E-8,-9.853268E-8,-9.728691E-8,-9.662834E-8,8.389679E-11,2.8380043E-9,1.8656638E-8,5.2540524E-9,3.1740064E-8,-9.96635E-10,-7.615667E-9,-8.190955E-9,-1.102014E-8,-9.986053E-9,-4.140766E-9,-9.998032E-9,-8.117509E-9
0.1476536871,2.4394429E-9,2.4434287E-9,2.4307564E-9,2.4602258E-9,2.4657827E-9,2.4754986E-9,2.474111E-9,2.4351579E-9,2.415209E-9,2.3688783E-9,2.32687E-9,1.031139E-10,3.478939E-10,4.760939E-11,2.635447E-10,-9.96635E-10,3.494847E-11,1.951494E-10,2.298897E-10,2.552113E-10,2.523029E-10,1.26029E-10,2.772186E-10,2.188856E-10
0.1476536871,-4.113532E-7,-4.022891E-7,-3.998644E-7,-4.00949E-7,-4.001863E-7,-3.977437E-7,-3.91077E-7,-3.968636E-7,-4.151067E-7,-4.189664E-7,-4.285047E-7,5.8054799E-8,8.802277E-8,9.2323375E-8,9.3453565E-8,-7.615667E-9,1.951494E-10,6.551495E-7,4.1715459E-8,4.3040628E-8,5.0209603E-8,4.1800146E-8,4.5817118E-8,4.2370992E-8
0.1476536871,-3.026679E-7,-3.004901E-7,-2.926852E-7,-2.874134E-7,-2.833867E-7,-2.746442E-7,-2.715933E-7,-2.679938E-7,-2.637795E-7,-2.649838E-7,-2.60632E-7,3.3968986E-8,-2.282154E-8,-2.017088E-8,-4.365889E-9,-8.190955E-9,2.298897E-10,4.1715459E-8,1.1316318E-7,3.8126204E-8,4.6669337E-8,4.0075216E-8,4.3422866E-8,4.0149954E-8
0.1476536871,-2.700561E-7,-2.584109E-7,-2.54722E-7,-2.509242E-7,-2.499711E-7,-2.447513E-7,-2.404969E-7,-2.388627E-7,-2.372184E-7,-2.392434E-7,-2.338804E-7,2.7025902E-8,-1.456871E-8,-2.601569E-8,-2.198979E-8,-1.102014E-8,2.552113E-10,4.3040628E-8,3.8126204E-8,4.6738133E-8,4.8780711E-8,3.9256412E-8,4.271028E-8,4.1005074E-8
