_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.3632974455,0.331904838,0.233034771,0.2291636156,0.2264933415,0.2159167306,0.1994411171,0.2378151962,0.2078720987,0.2254648348,0.2512569039,0.2193112845,-0.034251984,-0.069138166,-0.137901332,-0.13144405,-0.005419079,0.0000859606,0.007448335,-0.009051583,0.0044170449,-0.018004624,-0.012167311,-0.005376065,0.0019717809
0.3632974455,0.0001232717,0.0000358327,0.0000344908,0.000035578,0.0000361825,0.0000358766,0.0000357056,0.0000357177,0.0000369164,0.000036497,0.0000365948,-6.142282E-6,-8.861672E-6,-6.738677E-6,-3.479033E-6,-2.892603E-6,7.6902086E-8,-3.11157E-6,-2.927092E-6,-3.052547E-6,-3.573892E-6,-2.874354E-6,-2.297288E-6,-3.011975E-6
0.3632974455,0.0000358327,0.0001179983,0.0000336651,0.0000346314,0.0000351326,0.000034761,0.0000346036,0.0000345369,0.0000356738,0.0000352855,0.0000354176,-5.757387E-6,-8.667164E-6,-6.431471E-6,-3.170968E-6,-2.799091E-6,7.4787652E-8,-2.952989E-6,-3.01521E-6,-2.661667E-6,-3.893382E-6,-2.872144E-6,-1.995924E-6,-3.46619E-6
0.3632974455,0.0000344908,0.0000336651,0.0000867518,0.0000335912,0.0000341196,0.0000337945,0.0000336322,0.0000337015,0.0000346956,0.000034344,0.0000344729,-6.119877E-6,-8.356926E-6,-6.806303E-6,-1.180619E-6,-2.868383E-6,7.5483496E-8,-2.672022E-6,-2.514367E-6,-2.405521E-6,-3.243656E-6,-2.66557E-6,-1.897009E-6,-2.814517E-6
0.3632974455,0.000035578,0.0000346314,0.0000335912,0.0000859984,0.000035415,0.0000351206,0.0000349618,0.0000351118,0.0000361633,0.0000357565,0.0000358611,-6.253392E-6,-8.286043E-6,-6.736704E-6,-2.437121E-6,-2.950855E-6,7.6550484E-8,-2.910203E-6,-2.307402E-6,-2.399411E-6,-3.197744E-6,-2.576784E-6,-1.593695E-6,-2.593362E-6
0.3632974455,0.0000361825,0.0000351326,0.0000341196,0.000035415,0.000081989,0.0000359007,0.0000357354,0.0000359382,0.0000370676,0.000036599,0.0000366783,-6.187033E-6,-8.523884E-6,-6.505317E-6,-2.684018E-6,-2.994518E-6,7.7426201E-8,-3.073749E-6,-2.470439E-6,-2.436748E-6,-2.82814E-6,-2.292145E-6,-1.784081E-6,-2.254971E-6
0.3632974455,0.0000358766,0.000034761,0.0000337945,0.0000351206,0.0000359007,0.0000774783,0.0000355539,0.0000357881,0.0000369604,0.0000364773,0.0000365224,-6.245527E-6,-8.467688E-6,-6.4384E-6,-1.856551E-6,-2.963015E-6,7.7042743E-8,-3.168768E-6,-2.408914E-6,-2.78548E-6,-2.616598E-6,-2.250037E-6,-1.733638E-6,-1.937786E-6
0.3632974455,0.0000357056,0.0000346036,0.0000336322,0.0000349618,0.0000357354,0.0000355539,0.0000807155,0.0000356293,0.0000368042,0.0000363235,0.000036381,-6.282801E-6,-8.780605E-6,-6.209467E-6,-1.941406E-6,-2.918689E-6,7.557022E-8,-3.172576E-6,-2.336047E-6,-2.654389E-6,-2.874536E-6,-2.090068E-6,-1.701327E-6,-1.919269E-6
0.3632974455,0.0000357177,0.0000345369,0.0000337015,0.0000351118,0.0000359382,0.0000357881,0.0000356293,0.0000758731,0.0000370864,0.0000366178,0.0000366477,-6.164302E-6,-8.570073E-6,-6.7754E-6,-1.617462E-6,-3.02185E-6,7.8217182E-8,-3.175008E-6,-2.123609E-6,-2.295801E-6,-2.470733E-6,-2.001184E-6,-1.658155E-6,-1.569099E-6
0.3632974455,0.0000369164,0.0000356738,0.0000346956,0.0000361633,0.0000370676,0.0000369604,0.0000368042,0.0000370864,0.0000766299,0.0000378688,0.0000378752,-6.591712E-6,-8.789986E-6,-6.284527E-6,-1.350507E-6,-2.930229E-6,7.5476894E-8,-3.550896E-6,-2.515582E-6,-2.784758E-6,-2.761797E-6,-2.180371E-6,-1.839382E-6,-1.562837E-6
0.3632974455,0.000036497,0.0000352855,0.000034344,0.0000357565,0.000036599,0.0000364773,0.0000363235,0.0000366178,0.0000378688,0.0000781272,0.0000374229,-6.684854E-6,-9.045196E-6,-6.910908E-6,-1.078491E-6,-2.946302E-6,7.6926752E-8,-3.452842E-6,-2.200237E-6,-2.302744E-6,-2.724034E-6,-2.52611E-6,-2.236974E-6,-1.599361E-6
0.3632974455,0.0000365948,0.0000354176,0.0000344729,0.0000358611,0.0000366783,0.0000365224,0.000036381,0.0000366477,0.0000378752,0.0000374229,0.0000737582,-6.492709E-6,-9.558474E-6,-7.828389E-6,-1.499637E-6,-2.949052E-6,7.5919791E-8,-3.313836E-6,-2.30235E-6,-2.393671E-6,-2.985851E-6,-2.366692E-6,-1.898167E-6,-1.616292E-6
