1,0.845847607,0.7,
2,-0.289780737,0.3,
3,0.343403077,0.3,
4,0.650343916,0.5,
5,1.650931697,2,
6,4.72E-02,0.04,
7,-1.36E-03,0.001,
8,-0.347413832,0.3,
9,0.159114895,0.25,
10,0.959978913,1,
11,3.69E-02,0.03,
12,-8.61E-04,0.001,
13,0.133163316,0.1,
14,5.34E-02,0.05,
15,6.20E-02,0.05,
16,4.06E-02,0.05,
17,3.44E-02,0.05,
18,6.48E-02,0.05,
19,5.20E-02,0.05,
20,-0.286363166,0.3,
21,0.310134893,0.25,
22,0.802333567,1,
23,2.04E-02,0.03,
24,-6.99E-04,0.001,
25,2.26E-02,0.05,
26,0.102795781,0.1,
27,6.36E-02,0.05,
28,2.50E-02,0.05,
29,4.79E-02,0.05,
30,4.50E-02,0.05,
31,5.83E-02,0.05,
32,-0.330439946,0.3,
33,0.317666319,0.25,
34,0.797821677,1,
35,2.03E-02,0.03,
36,-5.50E-04,0.001,
37,5.34E-02,0.05,
38,4.23E-02,0.05,
39,9.79E-02,0.1,
40,3.98E-02,0.05,
41,4.14E-02,0.05,
42,4.49E-02,0.05,
43,4.04E-02,0.05,
44,-0.515466236,0.3,
45,0.244969018,0.25,
46,0.55294394,1,
47,1.71E-02,0.03,
48,-4.69E-04,0.001,
49,1.14E-02,0.05,
50,2.62E-02,0.05,
51,4.92E-02,0.05,
52,9.91E-02,0.1,
53,2.05E-02,0.05,
54,4.35E-02,0.05,
55,4.53E-02,0.05,
56,-0.279226134,0.3,
57,0.366533849,0.25,
58,0.721025864,1,
59,1.05E-02,0.03,
60,-3.09E-04,0.001,
61,9.42E-03,0.05,
62,3.37E-02,0.05,
63,5.63E-02,0.05,
64,1.01E-02,0.05,
65,9.16E-02,0.1,
66,3.69E-02,0.05,
67,5.51E-02,0.05,
68,-0.350928752,0.3,
69,0.309311195,0.25,
70,0.720183157,1,
71,2.44E-02,0.03,
72,-5.39E-04,0.001,
73,6.78E-02,0.05,
74,3.71E-02,0.05,
75,6.57E-02,0.05,
76,4.30E-02,0.05,
77,5.72E-02,0.05,
78,0.101359988,0.1,
79,5.33E-02,0.05,
80,-0.248496398,0.3,
81,0.307402411,0.25,
82,0.844265495,1,
83,1.89E-02,0.03,
84,-4.41E-04,0.001,
85,5.60E-03,0.05,
86,-8.32E-03,0.05,
