_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1609459177,0.0492333399,0.0377244089,0.0399720972,0.0352472437,0.0387845611,0.0382588185,0.0398329748,0.03925912,0.0380318652,0.0427434371,0.0429582772,-0.001626318,0.0052963836,-0.007200885,-0.012448161,-0.001835468,0.0000261517,0.0000866244,0.0154694202,0.0031126793,-0.001615033,-0.000712509,-0.001129294,-0.001612051
0.1609459177,3.1610379E-7,1.2623563E-7,1.2772558E-7,1.3035064E-7,1.3258581E-7,1.3473241E-7,1.3618793E-7,1.3798184E-7,1.4009457E-7,1.4207669E-7,1.443648E-7,-2.575976E-8,-5.981986E-8,-6.241294E-8,-5.996276E-8,-1.076016E-8,2.781021E-10,-1.168763E-8,-5.668754E-9,-4.491075E-9,-1.133646E-8,-3.978237E-9,-3.577214E-9,-2.401461E-9
0.1609459177,1.2623563E-7,3.3526125E-7,1.2885501E-7,1.313819E-7,1.335309E-7,1.3557914E-7,1.3710588E-7,1.3895026E-7,1.4107572E-7,1.4308489E-7,1.4546263E-7,-2.570767E-8,-6.156241E-8,-6.514275E-8,-6.189985E-8,-1.092101E-8,2.807923E-10,-1.121649E-8,-4.920974E-9,-2.969434E-9,-1.070723E-8,-3.513207E-9,-2.836764E-9,-1.710737E-9
0.1609459177,1.2772558E-7,1.2885501E-7,3.2854067E-7,1.3299785E-7,1.3523134E-7,1.373564E-7,1.3891904E-7,1.4080655E-7,1.4299658E-7,1.4506161E-7,1.4749627E-7,-2.540457E-8,-6.236705E-8,-6.626028E-8,-6.188647E-8,-1.100813E-8,2.813593E-10,-1.165492E-8,-5.201741E-9,-3.346962E-9,-1.084377E-8,-3.798457E-9,-3.023049E-9,-1.646059E-9
0.1609459177,1.3035064E-7,1.313819E-7,1.3299785E-7,3.2073296E-7,1.3819398E-7,1.4049083E-7,1.4212066E-7,1.4409935E-7,1.4640488E-7,1.4857319E-7,1.5111291E-7,-2.565152E-8,-6.267215E-8,-6.694937E-8,-6.174153E-8,-1.114061E-8,2.821774E-10,-1.239801E-8,-5.587315E-9,-3.70139E-9,-1.124703E-8,-4.278955E-9,-3.808976E-9,-2.118817E-9
0.1609459177,1.3258581E-7,1.335309E-7,1.3523134E-7,1.3819398E-7,3.1141762E-7,1.4319752E-7,1.448873E-7,1.4694663E-7,1.4936089E-7,1.5162572E-7,1.5426022E-7,-2.565512E-8,-6.30504E-8,-6.761156E-8,-6.168211E-8,-1.124163E-8,2.820304E-10,-1.314145E-8,-6.104456E-9,-4.011328E-9,-1.171693E-8,-4.716794E-9,-4.328732E-9,-2.400337E-9
0.1609459177,1.3473241E-7,1.3557914E-7,1.373564E-7,1.4049083E-7,1.4319752E-7,3.0644727E-7,1.475822E-7,1.497155E-7,1.5223975E-7,1.5460357E-7,1.5732233E-7,-2.55824E-8,-6.334788E-8,-6.827568E-8,-6.132024E-8,-1.133709E-8,2.822753E-10,-1.411436E-8,-6.377922E-9,-4.302032E-9,-1.268771E-8,-5.200115E-9,-4.958402E-9,-2.794804E-9
0.1609459177,1.3618793E-7,1.3710588E-7,1.3891904E-7,1.4212066E-7,1.448873E-7,1.475822E-7,3.0452033E-7,1.516433E-7,1.5425296E-7,1.5670169E-7,1.5954127E-7,-2.555052E-8,-6.37383E-8,-6.908244E-8,-6.189926E-8,-1.149016E-8,2.835787E-10,-1.454453E-8,-6.123148E-9,-3.81123E-9,-1.2707E-8,-5.337828E-9,-4.927627E-9,-2.697236E-9
0.1609459177,1.3798184E-7,1.3895026E-7,1.4080655E-7,1.4409935E-7,1.4694663E-7,1.497155E-7,1.516433E-7,3.0553189E-7,1.5667487E-7,1.5922165E-7,1.6220296E-7,-2.537794E-8,-6.417233E-8,-6.980626E-8,-6.262941E-8,-1.166436E-8,2.848744E-10,-1.476106E-8,-6.040844E-9,-3.45257E-9,-1.250578E-8,-5.481739E-9,-4.778154E-9,-2.73473E-9
0.1609459177,1.4009457E-7,1.4107572E-7,1.4299658E-7,1.4640488E-7,1.4936089E-7,1.5223975E-7,1.5425296E-7,1.5667487E-7,3.0898958E-7,1.6214155E-7,1.6525193E-7,-2.532469E-8,-6.476022E-8,-7.061831E-8,-6.318106E-8,-1.182481E-8,2.858697E-10,-1.525641E-8,-6.093788E-9,-3.336274E-9,-1.276999E-8,-5.807308E-9,-4.859636E-9,-2.764344E-9
0.1609459177,1.4207669E-7,1.4308489E-7,1.4506161E-7,1.4857319E-7,1.5162572E-7,1.5460357E-7,1.5670169E-7,1.5922165E-7,1.6214155E-7,3.1165315E-7,1.6814403E-7,-2.522518E-8,-6.540019E-8,-7.136512E-8,-6.355057E-8,-1.198471E-8,2.867015E-10,-1.551188E-8,-6.057054E-9,-3.16194E-9,-1.304964E-8,-6.03127E-9,-4.756779E-9,-2.802385E-9
0.1609459177,1.443648E-7,1.4546263E-7,1.4749627E-7,1.5111291E-7,1.5426022E-7,1.5732233E-7,1.5954127E-7,1.6220296E-7,1.6525193E-7,1.6814403E-7,3.2179403E-7,-2.511924E-8,-6.584451E-8,-7.180183E-8,-6.358777E-8,-1.228207E-8,2.89903E-10,-1.54836E-8,-5.795073E-9,-2.740575E-9,-1.274354E-8,-6.073819E-9,-4.455677E-9,-2.707508E-9
