_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.262329884,0.0833410365,0.1046282196,0.0886030009,-0.022970124,0.0702263387,0.0552763496,-0.0107782,0.0718818682,0.0770861177,0.1110212559,-0.00179351
0.262329884,7.0349833E-6,1.530509E-6,1.51439E-6,1.5174734E-6,1.53143E-6,1.5445725E-6,1.5440138E-6,1.5591449E-6,1.576119E-6,1.5791049E-6,-1.090052E-7
0.262329884,1.530509E-6,6.9955984E-6,1.5091876E-6,1.5122604E-6,1.526169E-6,1.5392664E-6,1.5387096E-6,1.5537888E-6,1.5707045E-6,1.5736802E-6,-1.086307E-7
0.262329884,1.51439E-6,1.5091876E-6,6.9605981E-6,1.4963336E-6,1.5100957E-6,1.5230552E-6,1.5225043E-6,1.5374246E-6,1.5541622E-6,1.5571065E-6,-1.074866E-7
0.262329884,1.5174734E-6,1.5122604E-6,1.4963336E-6,7.1134256E-6,1.5131704E-6,1.5261562E-6,1.5256042E-6,1.5405549E-6,1.5573266E-6,1.5602769E-6,-1.077055E-7
0.262329884,1.53143E-6,1.526169E-6,1.5100957E-6,1.5131704E-6,7.0808739E-6,1.5401927E-6,1.5396356E-6,1.5547238E-6,1.5716497E-6,1.5746271E-6,-1.086961E-7
0.262329884,1.5445725E-6,1.5392664E-6,1.5230552E-6,1.5261562E-6,1.5401927E-6,7.1256345E-6,1.5528485E-6,1.5680662E-6,1.5851374E-6,1.5881404E-6,-1.096289E-7
0.262329884,1.5440138E-6,1.5387096E-6,1.5225043E-6,1.5256042E-6,1.5396356E-6,1.5528485E-6,6.7456283E-6,1.567499E-6,1.584564E-6,1.5875659E-6,-1.095892E-7
0.262329884,1.5591449E-6,1.5537888E-6,1.5374246E-6,1.5405549E-6,1.5547238E-6,1.5680662E-6,1.567499E-6,6.6395851E-6,1.6000925E-6,1.6031238E-6,-1.106632E-7
0.262329884,1.576119E-6,1.5707045E-6,1.5541622E-6,1.5573266E-6,1.5716497E-6,1.5851374E-6,1.584564E-6,1.6000925E-6,6.5573564E-6,1.6205767E-6,-1.11868E-7
0.262329884,1.5791049E-6,1.5736802E-6,1.5571065E-6,1.5602769E-6,1.5746271E-6,1.5881404E-6,1.5875659E-6,1.6031238E-6,1.6205767E-6,6.3232963E-6,-1.120799E-7
0.262329884,-1.090052E-7,-1.086307E-7,-1.074866E-7,-1.077055E-7,-1.086961E-7,-1.096289E-7,-1.095892E-7,-1.106632E-7,-1.11868E-7,-1.120799E-7,7.7368447E-9
