_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1691100517,0.0507139422,0.0237745077,0.0376999179,0.041222275,0.2306770563,0.0401750057,0.0306687094,0.0363957804,-0.024802719,-0.016234946,-0.024111667,-0.025418514,0.0003989597,-0.000020956,0.0011340728,-0.00056073,-0.000640991,0.049052033,-0.000949735,-0.000234382,0.000290782
0.1691100517,9.6741462E-7,7.6091695E-7,8.9340677E-7,8.8545696E-7,8.732588E-7,8.9233442E-7,8.7642504E-7,8.8922428E-7,-1.686267E-7,-3.81903E-7,-3.713706E-7,-3.285189E-7,-6.890732E-8,1.9178136E-9,-4.113105E-8,-2.939594E-8,-1.8497E-8,-5.187322E-8,-2.645347E-8,-1.510206E-8,-9.351425E-9
0.1691100517,7.6091695E-7,8.4492417E-6,1.0358273E-6,9.8008312E-7,1.02374E-6,9.3796929E-7,9.4469357E-7,9.0497683E-7,-1.302174E-7,-2.696532E-7,-2.624276E-7,-2.20847E-7,-6.71766E-8,1.8827593E-9,-9.640381E-7,-5.20318E-8,-3.581475E-8,-6.118284E-8,-4.254614E-8,-2.994503E-8,-2.421169E-8
0.1691100517,8.9340677E-7,1.0358273E-6,3.5169558E-6,1.4021482E-6,1.1128746E-6,1.2046253E-6,1.1785625E-6,1.0690608E-6,-1.861765E-7,-3.560139E-7,-3.351122E-7,-2.95567E-7,-6.387131E-8,1.7918351E-9,-8.35854E-8,-2.924938E-7,-7.417611E-8,-7.705308E-8,-6.323132E-8,-5.17657E-8,-3.299673E-8
0.1691100517,8.8545696E-7,9.8008312E-7,1.4021482E-6,7.9365838E-6,1.0933065E-6,1.1976993E-6,1.1692975E-6,1.0943518E-6,-1.845754E-7,-3.512494E-7,-3.434257E-7,-3.054378E-7,-5.888838E-8,1.6565391E-9,-8.109115E-8,-9.092165E-8,-6.875334E-7,-7.81992E-8,-6.611136E-8,-5.371025E-8,-3.94359E-8
0.1691100517,8.732588E-7,1.02374E-6,1.1128746E-6,1.0933065E-6,6.8478367E-6,1.0745591E-6,1.1712039E-6,1.079922E-6,-1.649111E-7,-3.524003E-7,-3.357177E-7,-2.900311E-7,-6.339664E-8,1.7777508E-9,-8.39105E-8,-5.913037E-8,-4.628095E-8,-6.651344E-7,-5.195877E-8,-5.193468E-8,-3.757298E-8
0.1691100517,8.9233442E-7,9.3796929E-7,1.2046253E-6,1.1976993E-6,1.0745591E-6,3.8732296E-6,1.250676E-6,1.1028458E-6,-1.772804E-7,-3.866144E-7,-3.634405E-7,-3.076196E-7,-6.181605E-8,1.7173255E-9,-6.709991E-8,-6.705795E-8,-5.40491E-8,-7.412988E-8,-3.328625E-7,-5.967077E-8,-3.647409E-8
0.1691100517,8.7642504E-7,9.4469357E-7,1.1785625E-6,1.1692975E-6,1.1712039E-6,1.250676E-6,7.569163E-6,1.1331544E-6,-1.684283E-7,-3.755635E-7,-3.668317E-7,-3.130542E-7,-6.125628E-8,1.7477924E-9,-7.297003E-8,-6.842922E-8,-5.50931E-8,-9.417815E-8,-7.382487E-8,-7.562155E-7,-4.384816E-8
0.1691100517,8.8922428E-7,9.0497683E-7,1.0690608E-6,1.0943518E-6,1.079922E-6,1.1028458E-6,1.1331544E-6,2.0407635E-6,-2.175522E-7,-3.711733E-7,-3.586699E-7,-2.96406E-7,-6.38281E-8,1.7916409E-9,-5.91079E-8,-5.093602E-8,-4.40988E-8,-7.328943E-8,-5.132074E-8,-4.707584E-8,-1.352241E-7
0.1691100517,-1.686267E-7,-1.302174E-7,-1.861765E-7,-1.845754E-7,-1.649111E-7,-1.772804E-7,-1.684283E-7,-2.175522E-7,4.6443795E-7,-3.614899E-8,-1.072693E-7,-9.933501E-8,-4.061222E-9,1.304085E-10,2.438618E-8,1.6034151E-8,2.5019149E-8,3.6793037E-8,1.4029533E-8,2.5341758E-8,7.8050496E-9
