_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.2486309081,0.0704264884,0.087632713,0.068574729,-0.005955634,0.0861804109,0.0685570476,-0.023216623,0.0886611515,0.0862602813,0.0974355375,-0.001302062
0.2486309081,3.2721032E-6,5.4154659E-7,5.366003E-7,5.381347E-7,5.4011627E-7,5.4588571E-7,5.4558524E-7,5.4991192E-7,5.5136718E-7,5.5535149E-7,-4.585497E-8
0.2486309081,5.4154659E-7,3.3022173E-6,5.3352555E-7,5.3505116E-7,5.3702137E-7,5.4275775E-7,5.42459E-7,5.4676089E-7,5.4820781E-7,5.521693E-7,-4.559221E-8
0.2486309081,5.366003E-7,5.3352555E-7,3.3529091E-6,5.301642E-7,5.3211642E-7,5.378004E-7,5.3750438E-7,5.4176698E-7,5.4320068E-7,5.4712599E-7,-4.517579E-8
0.2486309081,5.381347E-7,5.3505116E-7,5.301642E-7,3.4114588E-6,5.3363799E-7,5.3933823E-7,5.3904136E-7,5.4331615E-7,5.4475395E-7,5.4869048E-7,-4.530497E-8
0.2486309081,5.4011627E-7,5.3702137E-7,5.3211642E-7,5.3363799E-7,3.2847504E-6,5.4132423E-7,5.4102627E-7,5.453168E-7,5.467599E-7,5.5071092E-7,-4.54718E-8
0.2486309081,5.4588571E-7,5.4275775E-7,5.378004E-7,5.3933823E-7,5.4132423E-7,3.233415E-6,5.4680543E-7,5.5114179E-7,5.526003E-7,5.5659353E-7,-4.595752E-8
0.2486309081,5.4558524E-7,5.42459E-7,5.3750438E-7,5.3904136E-7,5.4102627E-7,5.4680543E-7,3.026439E-6,5.5083843E-7,5.5229614E-7,5.5628717E-7,-4.593222E-8
0.2486309081,5.4991192E-7,5.4676089E-7,5.4176698E-7,5.4331615E-7,5.453168E-7,5.5114179E-7,5.5083843E-7,2.8986363E-6,5.5667604E-7,5.6069872E-7,-4.629648E-8
0.2486309081,5.5136718E-7,5.4820781E-7,5.4320068E-7,5.4475395E-7,5.467599E-7,5.526003E-7,5.5229614E-7,5.5667604E-7,2.7900634E-6,5.6218252E-7,-4.6419E-8
0.2486309081,5.5535149E-7,5.521693E-7,5.4712599E-7,5.4869048E-7,5.5071092E-7,5.5659353E-7,5.5628717E-7,5.6069872E-7,5.6218252E-7,2.647006E-6,-4.675443E-8
0.2486309081,-4.585497E-8,-4.559221E-8,-4.517579E-8,-4.530497E-8,-4.54718E-8,-4.595752E-8,-4.593222E-8,-4.629648E-8,-4.6419E-8,-4.675443E-8,3.8604793E-9
