ano,sector,educ_new,hourly_wage,rwage_corr,cellsize1,cellsize2
1998,6,4,44493.629624,7702758.8398,1703,1722
1998,7,1,78399.977481,13176890.654,18924,19164
1998,7,2,171307.81603,28388526.341,31360,31726
1998,7,3,231394.47088,35999797.381,26238,26511
1998,7,4,531935.03515,75984990.262,24880,25113
1999,1,1,18228.962998,3539901.2398,7641,7818
1999,1,2,9485.1868679,1791658.8671,2806,2862
1999,1,3,6415.410434,1081284.8819,622,631
1999,1,4,7649.8524627,1338505.9834,346,351
1999,2,1,30100.162048,5766260.4828,7919,8062
1999,2,2,65756.858166,12385295.654,14477,14688
1999,2,3,30521.929418,5751302.6674,4222,4271
1999,2,4,41816.537281,7331445.7907,1991,2011
1999,3,1,9115.0546119,1723829.3065,1457,1476
1999,3,2,27555.63403,5205292.0733,3741,3788
1999,3,3,23649.719919,4393080.821,2182,2211
1999,3,4,41864.596212,7721534.9055,1571,1589
1999,4,1,19935.390917,3707646.4844,5163,5215
1999,4,2,19579.815071,3740378.6669,4429,4488
1999,4,3,6552.6942207,1232787.937,1007,1014
1999,4,4,10327.093583,1898843.8215,597,607
1999,5,1,13790.52821,2648886.2736,4093,4156
1999,5,2,54898.832908,10483198.305,14935,15155
1999,5,3,37447.180376,7021885.0577,7864,7953
1999,5,4,27272.438412,5076113.4553,2176,2200
1999,6,1,20168.35165,3740693.9526,3443,3528
1999,6,2,43158.519657,7975512.4366,6874,7003
1999,6,3,36988.068728,6333917.3732,3324,3378
1999,6,4,38825.946247,6939033.5184,1683,1727
1999,7,1,72267.3842,12447048.498,18699,19182
1999,7,2,163360.69639,27415633.308,32448,33264
1999,7,3,220676.08719,35053304.441,27527,28355
1999,7,4,512007.31404,74550570.171,25811,26591
2000,1,1,19339.70863,3763107.5372,7818,8055
2000,1,2,9996.4288416,1921316.3626,2915,3013
2000,1,3,6624.718985,1136830.1756,658,672
2000,1,4,7485.3963391,1338660.9702,349,354
2000,2,1,30186.757182,5834620.9018,7938,8180
2000,2,2,68088.829273,13046922.725,15258,15614
2000,2,3,32677.337878,6205395.0298,4588,4668
2000,2,4,45500.414197,7873436.987,2017,2055
2000,3,1,8993.6035632,1704238.3496,1384,1414
2000,3,2,29550.219346,5575537.1989,3895,3975
2000,3,3,26105.217499,4878230.1448,2436,2477
2000,3,4,45312.185244,8458302.2226,1616,1640
2000,4,1,19661.577987,3735658.3438,5099,5204
2000,4,2,21419.638472,4052067.2942,4707,4799
2000,4,3,7274.6619913,1390770.8009,1128,1151
2000,4,4,9137.0228373,1764352.1532,557,579
2000,5,1,13587.754853,2645945.4332,4031,4146
2000,5,2,57677.023713,11219878.229,15700,16146
2000,5,3,40621.536184,7746403.6693,8722,8933
2000,5,4,28062.536832,5391061.9577,2203,2288
2000,6,1,18354.555125,3484391.9321,3212,3332
2000,6,2,42808.293353,8041876.28,6934,7126
2000,6,3,36266.053603,6402453.7764,3458,3534
2000,6,4,40906.552811,7460088.957,1748,1793
2000,7,1,73593.580033,12738636.757,18196,18958
2000,7,2,172283.37478,29072241.616,33571,34763
2000,7,3,235150.82703,37482392.824,29081,30150
2000,7,4,545770.86659,80515692.546,26950,27747
2001,1,1,22161.133503,4096129.229,8310,8383
2001,1,2,11616.08003,2151961.9235,3313,3336
2001,1,3,7359.8423081,1246901.147,705,709
2001,1,4,8507.076941,1503347.8269,367,370
2001,2,1,30641.412431,5860351.3874,8048,8116
2001,2,2,71103.254997,13537545.869,16188,16303
2001,2,3,35503.353957,6583859.3877,5136,5162
2001,2,4,42953.34157,7991795.3905,2033,2051
2001,3,1,9383.0429914,1777517.8215,1407,1419
2001,3,2,32078.135998,5966336.7076,4119,4153
2001,3,3,28381.038049,5232402.63,2631,2650
2001,3,4,49805.541998,9224643.446,1708,1716
2001,4,1,21650.360011,3890930.9636,5299,5330
2001,4,2,23168.022492,4351632.9361,5120,5152
2001,4,3,8371.9211924,1546990.1867,1277,1281
2001,4,4,8842.1402636,1681996.7041,548,552
2001,5,1,14204.939408,2687476.4651,4171,4200
2001,5,2,62246.083769,11800622.902,17138,17232
2001,5,3,46168.057399,8641346.1057,10081,10119
2001,5,4,32219.219354,5974210.9123,2496,2500
2001,6,1,18449.117778,3384938.3351,3232,3254
2001,6,2,44377.605843,8229371.1756,7385,7439
2001,6,3,36480.296204,6519987.5912,3767,3800
2001,6,4,42111.863371,7550231.1921,1792,1813
2001,7,1,75685.230465,12590377.923,18578,18763
2001,7,2,179382.83164,30148542.753,35939,36282
2001,7,3,256043.1187,40060540.976,32126,32459
2001,7,4,602590.73846,84816171.783,28256,28449
2002,1,1,22629.606599,3890612.368,8469,8531
2002,1,2,11895.845079,2104912.9974,3592,3613
2002,1,3,7519.1355651,1204967.9394,781,785
2002,1,4,7396.3334578,1286895.466,374,375
2002,2,1,28451.959105,5241072.6763,8218,8268
2002,2,2,67389.29862,12731295.445,16968,17055
2002,2,3,34397.662529,6460417.1909,5722,5740
2002,2,4,38475.654338,7156900.8508,2067,2080
2002,3,1,7807.8003818,1473778.6374,1390,1396
2002,3,2,27594.1565,5148987.2784,4087,4109
2002,3,3,25838.462736,4749338.916,2791,2799
2002,3,4,45500.164396,8388855.9429,1711,1715
2002,4,1,18949.581827,3504517.269,5252,5279
2002,4,2,21266.910732,3975113.2056,5272,5301
2002,4,3,7279.8446531,1370120.1088,1335,1343
2002,4,4,8661.8071495,1628587.1058,570,577
2002,5,1,12721.063062,2413327.579,4166,4189
2002,5,2,59872.475405,11339804.918,18129,18196
2002,5,3,46832.699294,8620957.2708,11352,11404
2002,5,4,30971.676507,5741209.386,2654,2656
2002,6,1,15950.652806,2908091.2253,3163,3178
2002,6,2,41446.043817,7558909.6199,7572,7605
2002,6,3,39228.926467,6244391.9804,4006,4029
2002,6,4,40098.535825,6950244.6582,1801,1807
2002,7,1,70389.847571,11789094.43,18637,18834
2002,7,2,175901.48079,29219080.961,37861,38268
2002,7,3,252106.77987,39496693.01,34813,35268
2002,7,4,580761.59637,82551968.664,29579,29993
2003,1,1,23337.195087,4324251.4864,8920,8988
2003,1,2,13155.00242,2430016.5768,3969,4013
2003,1,3,8298.5774694,1363006.01,861,886
2003,1,4,8240.1515905,1450616.348,387,395
2003,2,1,29370.141555,5527347.3911,8240,8302
