   21, 2,0,0,2,0,1,  17846.18,   1274.11
   21, 3,0,0,2,0,1, -56608.62,   1274.11
   21, 4,0,0,2,0,1, -18235.55,   1274.11
   21, 5,0,0,2,0,1,  -5805.58,   1274.11
   22, 1,0,0,1,0,1, -31066.50,   1754.61
   22, 2,0,0,1,0,1, -27411.92,   1754.61
   22, 3,1,0,1,0,1,  52746.02,    749.95
   22, 4,0,1,1,1,1,   -858.52,   1754.61
   22, 5,0,1,1,0,1,-100337.17,   1754.61
   23, 1,0,0,1,0,0,  65998.53,   1366.49
   23, 2,0,0,1,0,0,  21991.67,   1366.49
   23, 3,0,0,1,0,0, -13785.76,   1366.49
   23, 4,0,0,1,0,0, -15454.97,   1366.49
   23, 5,0,0,1,0,0, -51852.01,   1366.49
   24, 1,1,0,1,0,0,  18731.93,    584.06
   24, 2,0,1,1,1,0,  -9181.92,   1366.49
   24, 3,1,1,1,0,0,  31821.86,    584.06
   24, 4,0,2,1,1,0,  22833.65,   1366.49
   24, 5,0,2,1,0,0,  31758.90,   1366.49
   25, 1,0,0,0,0,1,  -2984.94,   2321.57
   25, 2,0,0,0,0,1,  -8382.17,   2321.57
   25, 3,0,0,0,0,1,  37549.08,   2321.57
   25, 4,0,0,0,0,1,   6414.47,   2321.57
   25, 5,0,0,0,0,1,  49749.95,   2321.57
   26, 1,0,0,1,0,1, -25378.13,   1754.61
   26, 2,0,0,1,0,1,   7544.20,   1754.61
   26, 3,0,0,1,0,1, -20884.41,   1754.61
   26, 4,0,0,1,0,1,   2381.18,   1754.61
   26, 5,0,0,1,0,1,  36169.86,   1754.61
   27, 1,0,0,1,0,1,  48579.51,   1754.61
   27, 2,0,0,1,0,1, -23898.94,   1754.61
   27, 3,0,0,1,0,1, -36715.14,   1754.61
   27, 4,0,0,1,0,1,  28397.83,   1754.61
   27, 5,0,0,1,0,1, -10274.80,   1754.61
   28, 1,0,0,2,0,1,  19210.09,   1274.11
   28, 2,0,0,2,0,1,  20733.73,   1274.11
   28, 3,0,0,2,0,1,  53048.29,   1274.11
   28, 4,0,0,2,0,1,   -853.66,   1274.11
   28, 5,0,0,2,0,1,  39906.54,   1274.11
   29, 1,1,0,1,0,0,   5678.33,    584.06
   29, 2,0,1,1,1,0,  -3421.48,   1366.49
   29, 3,1,1,1,0,0,  74693.41,    584.06
   29, 4,1,2,1,1,0,  41539.17,    584.06
   29, 5,0,3,1,1,0,  12707.90,   1366.49
   30, 1,1,0,2,0,1,  36894.31,    544.57
   30, 2,1,1,2,1,1,  31187.15,    544.57
   30, 3,0,2,2,1,1,-103090.25,   1274.11
   30, 4,0,2,2,0,1, -23844.24,   1274.11
   30, 5,0,2,2,0,1,  33987.32,   1274.11
   31, 1,1,0,2,0,1,  12033.34,    544.57
   31, 2,1,1,2,1,1,  66815.64,    544.57
   31, 3,0,2,2,1,1, -34572.28,   1274.11
   31, 4,0,2,2,0,1,  -9737.29,   1274.11
   31, 5,0,2,2,0,1,  30409.02,   1274.11
   32, 1,0,0,1,0,1, -17441.93,   1754.61
   32, 2,0,0,1,0,1,  20061.29,   1754.61
   32, 3,0,0,1,0,1,   3844.81,   1754.61
   32, 4,0,0,1,0,1,  44668.95,   1754.61
   32, 5,0,0,1,0,1,  27094.13,   1754.61
   33, 1,0,0,0,0,0, -33259.31,   1808.04
   33, 2,0,0,0,0,0, -11817.03,   1808.04
   33, 3,0,0,0,0,0,   -991.46,   1808.04
   33, 4,0,0,0,0,0,  -6953.88,   1808.04
