year,skills,newCodeA,tenure,type,group,weight,A1age,A1age2,A1age3,A1cons
1995,1,3,0,2,2,435.5722,-.0009086,1.41e-06,-6.64e-08,.0701071
1995,1,3,1,2,2,308.3631,.0146293,-.000332,2.30e-06,-.1658281
1995,1,3,2,2,2,333.828,.0285522,-.0005861,3.79e-06,-.4061168
1995,1,3,3,2,2,304.4137,-.0076477,.0002326,-2.09e-06,.0983253
1995,1,3,4,2,2,31.2351,-.0050142,.0002037,-2.39e-06,.0844488
1995,1,3,5,2,2,636.8892,.0285116,-.0005949,3.99e-06,-.4052276
1995,2,3,0,1,3,534.4225,.004608,-.0001768,1.54e-06,.0314352
1995,2,3,1,1,3,341.9797,-.0122059,.0002597,-2.05e-06,.2345196
1995,2,3,2,1,3,285.4806,-.0081373,.0001863,-1.58e-06,.1603028
1995,2,3,3,1,3,318.8327,-.0103089,.0002484,-2.10e-06,.1806061
1995,2,3,4,1,3,132.4148,.0341661,-.0009299,7.71e-06,-.3405524
1995,2,3,5,1,3,1686.289,.0234765,-.0004869,3.06e-06,-.3147658
1995,2,3,0,2,4,2054.578,-.0004718,-.0000418,4.68e-07,.0859647
1995,2,3,1,2,4,1569.02,-.0150642,.0003214,-2.39e-06,.269536
1995,2,3,2,2,4,1902.519,.0096422,-.0001975,1.19e-06,-.1107394
1995,2,3,3,2,4,1330.167,.0059198,-.000104,4.02e-07,-.0606975
1995,2,3,4,2,4,352.5852,.0200247,-.0006355,5.73e-06,-.1233307
1995,2,3,5,2,4,4821.711,.0317935,-.0007044,4.94e-06,-.4212112
1995,3,3,0,1,5,154.7458,.0360517,-.00095,7.67e-06,-.3792629
1995,3,3,1,1,5,102.4277,.0167336,-.000491,4.13e-06,-.1171388
1995,3,3,2,1,5,112.0452,.0199457,-.0004632,3.31e-06,-.2322704
1995,3,3,3,1,5,53.00401,-.0204137,.0006892,-6.90e-06,.1995246
1995,3,3,4,1,5,18.23,.0393494,-.000848,5.90e-06,-.5485623
1995,3,3,5,1,5,168.586,.0118122,-.0001161,-3.09e-07,-.2240908
1995,3,3,0,2,6,896.2542,.0053746,-.000275,2.86e-06,.0682431
1995,3,3,1,2,6,793.5723,.0165841,-.0005008,4.31e-06,-.1077773
1995,3,3,2,2,6,804.9548,.0477468,-.0011585,8.91e-06,-.5886679
1995,3,3,3,2,6,248.996,.0230826,-.0005254,3.73e-06,-.2846052
1995,3,3,4,2,6,96.77,.0387302,-.000907,6.63e-06,-.4779454
1995,3,3,5,2,6,952.414,.008271,-.0000664,-3.91e-07,-.1604078
1995,1,4,0,1,1,95.76079,.0377117,-.0008718,6.34e-06,-.4797443
1995,1,4,1,1,1,103.1832,.0070543,-.0001024,2.11e-07,-.0948071
1995,1,4,2,1,1,122.7855,.0417426,-.0008798,5.82e-06,-.5889978
1995,1,4,3,1,1,49.88311,-.0162898,.0005767,-5.78e-06,.1391345
1995,1,4,4,1,1,6.213468,.1381083,-.0035218,.0000293,-1.735178
1995,1,4,5,1,1,67.49613,-.0066074,.0002861,-3.05e-06,.0381625
1995,1,4,0,2,2,922.2392,.0121534,-.000306,2.27e-06,-.1076217
1995,1,4,1,2,2,774.8168,.0116354,-.0002527,1.65e-06,-.1315519
1995,1,4,2,2,2,1038.214,.0196678,-.0004476,3.18e-06,-.2385263
1995,1,4,3,2,2,315.1169,.0149713,-.0002837,1.61e-06,-.2101401
1995,1,4,4,2,2,68.78653,.0402459,-.0009237,6.71e-06,-.5188318
1995,1,4,5,2,2,719.5039,.0184267,-.0003347,1.84e-06,-.2804081
1995,2,4,0,1,3,462.2091,-.0068586,.0001739,-1.62e-06,.1329899
1995,2,4,1,1,3,391.3928,-.0174145,.000444,-3.76e-06,.2589437
1995,2,4,2,1,3,687.4932,-.0032258,.0001706,-2.07e-06,.0260888
1995,2,4,3,1,3,184.2882,-.0051644,.0002521,-2.93e-06,.0301049
1995,2,4,4,1,3,38.75294,-.002113,.0001768,-2.37e-06,-.0053576
1995,2,4,5,1,3,461.8394,-.0033509,.0002307,-2.80e-06,-.0171821
1995,2,4,0,2,4,2373.791,-.0065725,.0001364,-1.07e-06,.1437911
1995,2,4,1,2,4,1927.607,-.0129986,.0003299,-2.80e-06,.2029325
1995,2,4,2,2,4,2785.507,.0005368,.0000269,-5.33e-07,.0027892
1995,2,4,3,2,4,850.7118,.0006245,.0000466,-8.75e-07,-.0082635
1995,2,4,4,2,4,193.2471,.0314119,-.0007192,5.24e-06,-.4029169
1995,2,4,5,2,4,2425.161,-.0052368,.0002436,-2.63e-06,.0230122
1995,3,4,0,1,5,161.551,.0150074,-.0004782,4.23e-06,-.0770802
1995,3,4,1,1,5,116.6874,-.0066878,.0000511,6.36e-08,.2087345
1995,3,4,2,1,5,203.5313,.0352782,-.0008791,6.80e-06,-.4037814
1995,3,4,3,1,5,53.38015,.0255708,-.0007026,5.89e-06,-.2455738
1995,3,4,4,1,5,20.95945,.0141894,-.0003836,3.01e-06,-.1078788
1995,3,4,5,1,5,133.2955,.0808273,-.0019206,.0000146,-1.046701
1995,3,4,0,2,6,1021.449,-.0006921,-.0001259,1.67e-06,.1476334
1995,3,4,1,2,6,720.3126,.0200503,-.0005912,5.09e-06,-.1522313
1995,3,4,2,2,6,830.4687,.0521872,-.0012735,9.84e-06,-.6413985
1995,3,4,3,2,6,282.6198,.0444384,-.0011437,9.24e-06,-.5060464
1995,3,4,4,2,6,74.04055,.1031277,-.0026294,.0000212,-1.233059
1995,3,4,5,2,6,387.7045,.0633743,-.0014971,.0000113,-.8219584
1995,1,5,0,1,1,123.8016,-.0805381,.0018979,-.0000147,1.14833
1995,1,5,1,1,1,58.11859,-.0312864,.0008123,-6.78e-06,.416239
1995,1,5,2,1,1,39.42315,.052468,-.0012081,8.95e-06,-.6978661
1995,1,5,3,1,1,32.1657,.0170539,-.0003441,2.13e-06,-.2303105
1995,1,5,4,1,1,12.93071,.0243419,-.0004691,2.51e-06,-.3377445
1995,1,5,5,1,1,107.8234,-.0120126,.0004939,-5.31e-06,.0733022
1995,1,5,0,2,2,1067.198,.0053117,-.0001487,1.06e-06,-.0088715
1995,1,5,1,2,2,863.8814,-.0129424,.0002832,-2.19e-06,.2341259
1995,1,5,2,2,2,547.5768,.007525,-.0001649,1.08e-06,-.0729801
1995,1,5,3,2,2,334.8343,-.0008026,.0000791,-1.15e-06,.0146233
1995,1,5,4,2,2,150.0693,.0073312,-.0001818,1.28e-06,-.0505879
1995,1,5,5,2,2,1907.177,.0191226,-.00035,1.91e-06,-.2867586
1995,2,5,0,1,3,540.9635,-.0105468,.0002242,-1.77e-06,.2068969
1995,2,5,1,1,3,327.6348,-.0062697,.0001139,-8.34e-07,.1520403
1995,2,5,2,1,3,218.1142,-.017447,.0004776,-4.24e-06,.2387619
1995,2,5,3,1,3,166.6994,-.0571769,.001421,-.0000114,.77332
1995,2,5,4,1,3,79.25235,-.0009017,.0000479,-7.91e-07,.0456625
1995,2,5,5,1,3,1063.219,-.0287972,.0008208,-7.33e-06,.3438564
1995,2,5,0,2,4,2130.036,-.0163312,.0003416,-2.54e-06,.297619
1995,2,5,1,2,4,1820.365,-.0235431,.0004938,-3.51e-06,.4013116
