sample	newcode	beta1	beta2	beta3	beta4	beta5	beta6	beta7	beta8	beta9	sigma
2	32	-.011634	.063855998	.037629999	-.0003857	-.96292001	-.062435001	-.47628	0	0	.14077
3	32	-.0088742999	.059951	.041352	-.00042619999	-.97358	-.072595	-.48477	0	0	.1401
4	32	-.010103	.060546	.039333001	-.00040349999	-.94945002	-.069389999	-.47191	0	0	.13868
5	32	-.01154	.061725002	.039994001	-.0004129	-.97290999	-.066395	-.47852999	0	0	.13974001
6	32	-.011697	.061755002	.039028998	-.00039969999	-.94615	-.069569997	-.48789999	0	0	.14019001
7	32	-.011453	.062309001	.040353999	-.00041579999	-.96034998	-.064443	-.47856	0	0	.13962001
8	32	-.010872	.060626999	.039262	-.00040290001	-.95958	-.071186997	-.48372999	0	0	.14018001
9	32	-.011801	.061811998	.040449999	-.00041810001	-.95125002	-.067465998	-.48519999	0	0	.13866
10	32	-.010665	.062018	.042071	-.00043409999	-.95188999	-.066191003	-.48572001	0	0	.14036
11	32	-.0095929997	.060371	.041080002	-.000424	-.95016003	-.068885997	-.47171	0	0	.14016999
12	32	-.010592	.061213002	.040665999	-.00041820001	-.97057998	-.071408004	-.48508999	0	0	.13954
13	32	-.01098	.061344001	.039175	-.0004012	-.96406001	-.070354	-.48184001	0	0	.13931
14	32	-.0096562998	.059939999	.040970001	-.00042289999	-.97074002	-.070890002	-.47634	0	0	.13977
15	32	-.0090415003	.060897	.04118	-.0004284	-.97110999	-.067295	-.48322999	0	0	.13824999
16	32	-.0099197999	.060185	.040476002	-.00041780001	-.97014999	-.069459997	-.48368001	0	0	.13913
17	32	-.0103	.061182	.039274	-.00040620001	-.97706997	-.068341002	-.48253	0	0	.1398
18	32	-.0099109998	.060665	.039376002	-.00040379999	-.96069002	-.066923998	-.47916999	0	0	.13872001
19	32	-.011457	.062714003	.039246999	-.0004011	-.97424001	-.071585	-.47391999	0	0	.13898
20	32	-.01114	.061280999	.038826	-.00039649999	-.98347998	-.076989003	-.47944999	0	0	.13857999
21	32	-.010832	.061553001	.040344998	-.00041440001	-.95516998	-.071314	-.47891	0	0	.1393
22	32	-.010819	.061655998	.037579	-.00038119999	-.96757001	-.069530003	-.47729	0	0	.13905001
23	32	-.0096175997	.061007999	.040573999	-.0004166	-.94753999	-.067994997	-.47163999	0	0	.13946
24	32	-.010682	.061565999	.041200999	-.00042570001	-.98311001	-.075668	-.48056	0	0	.13931
25	32	-.011068	.061599001	.040810999	-.00042150001	-.97586	-.069087997	-.48750001	0	0	.13911
26	32	-.011077	.062501997	.040318001	-.0004165	-.94638997	-.065076999	-.47797999	0	0	.14022
27	32	-.011397	.063304	.039586999	-.00040749999	-.98233002	-.067103997	-.47367001	0	0	.14083999
28	32	-.010326	.061388001	.040690999	-.0004203	-.97312999	-.071331002	-.48041999	0	0	.14117999
29	32	-.010033	.061250001	.039356001	-.00040300001	-.99190998	-.073216997	-.48447999	0	0	.13991
30	32	-.011313	.061824001	.041104	-.00042259999	-.95954001	-.066007003	-.48032001	0	0	.14117
31	32	-.011856	.061705001	.039608002	-.0004058	-.97507	-.071915001	-.47907001	0	0	.14099
32	32	-.0099855	.060318001	.038070999	-.00039090001	-.96612	-.073031001	-.47830001	0	0	.14036
33	32	-.011939	.061526999	.041639999	-.0004282	-.96324003	-.073136002	-.48203	0	0	.14004999
34	32	-.01033	.061999999	.041402999	-.00042729999	-.94740999	-.063676998	-.48188001	0	0	.14086001
35	32	-.01199	.062762998	.040247001	-.00041559999	-.95880002	-.070451997	-.47296	0	0	.1416
36	32	-.0099662002	.060807999	.041147999	-.00042550001	-.96928	-.067249998	-.46866	0	0	.13997
37	32	-.011525	.061670002	.039802998	-.0004087	-.96811002	-.067442998	-.48932001	0	0	.13789999
38	32	-.01214	.063141003	.040366001	-.0004166	-.97495002	-.071234003	-.47516999	0	0	.14021
39	32	-.0097247995	.061448999	.041271999	-.00042910001	-.98272002	-.075240001	-.47141001	0	0	.13877
40	32	-.010752	.06089	.037976999	-.00038439999	-.96812999	-.068411998	-.48954999	0	0	.13953
41	32	-.01087	.061592001	.041005999	-.000424	-.94806999	-.067794003	-.47846001	0	0	.14178
42	32	-.010328	.059778001	.038801	-.0003974	-.98095	-.069241002	-.48423001	0	0	.14071
43	32	-.0094728004	.060403001	.041297	-.00042729999	-.98357999	-.066505998	-.48291001	0	0	.13935
44	32	-.0099654999	.060915001	.040778	-.00042249999	-.97057998	-.069417998	-.48192999	0	0	.13991
45	32	-.012184	.063097	.04047	-.00041909999	-.95618999	-.064512998	-.48758999	0	0	.13860001
46	32	-.0097511001	.060065001	.040173002	-.00041740001	-.97657001	-.071468003	-.47457001	0	0	.13997
47	32	-.0102	.061454002	.038702998	-.0003976	-.97579002	-.067483	-.48324999	0	0	.14088
48	32	-.010281	.062795997	.039561	-.0004056	-.96309	-.070568003	-.48677	0	0	.14038
49	32	-.011113	.060842	.038702	-.00039619999	-.95929003	-.064226002	-.48596001	0	0	.13781001
50	32	-.010323	.061418999	.040249001	-.00041529999	-.96578997	-.071202002	-.49371001	0	0	.13798
51	32	-.010115	.060382001	.040318999	-.0004165	-.96095002	-.065430999	-.48723	0	0	.14054
