sample	newcode	beta1	beta2	beta3	beta4	beta5	beta6	beta7	beta8	beta9	sigma
0	1	.0094186002	.055380002	.039223	-.0004131	-1.2697999	-.14924	-.91333002	-.10655	-.58130002	.14480001
1	1	.0093235997	.056340002	.036591999	-.00038410001	-1.2253	-.15026	-.88862002	-.10632	-.57058001	.14826
2	1	.0090100998	.055865999	.036481999	-.00038360001	-1.2484	-.14230999	-.93760997	-.10231	-.50805998	.14568999
3	1	.0097148996	.058490001	.040346	-.0004281	-1.2469	-.15199	-.91561002	-.11119	-.51419002	.14738999
4	1	.010062	.053507	.042601999	-.00044910001	-1.3523	-.15143999	-.89082003	-.11021	-.52667999	.14785001
5	1	.0097762998	.055939998	.038559001	-.0004089	-1.2217	-.14667	-.96292001	-.10687	-.53821999	.14266001
6	1	.0095298998	.053235002	.039856002	-.00042289999	-1.28	-.15029	-.83032	-.10589	-.57433999	.14778
7	1	.0092240004	.058120999	.037025001	-.0003864	-1.2817	-.16046999	-.89112002	-.11249	-.57009	.14717001
8	1	.01015	.056456	.041498002	-.0004356	-1.251	-.15459999	-.91487002	-.11544	-.51712	.14354999
9	1	.0087374002	.056584999	.039133999	-.00041149999	-1.3341	-.15899999	-.92885	-.11387	-.57287002	.1478
10	1	.010807	.054568	.040290002	-.0004238	-1.2418	-.15403	-.88142997	-.10882	-.54518998	.14782
11	1	.0091112005	.055408999	.039476998	-.00041730001	-1.2904	-.14532	-.90806001	-.10729	-.54667002	.14583001
12	1	.0076462999	.054567002	.040922001	-.0004285	-1.2776	-.15342	-.92126	-.1068	-.56041002	.14361
13	1	.010582	.057167999	.041774999	-.00044070001	-1.2874	-.15283	-.92479998	-.11412	-.55909997	.14588
14	1	.0087526999	.054846998	.036568001	-.00038069999	-1.2541	-.15389	-.89857	-.10835	-.55892003	.14438
15	1	.0092970999	.054797001	.039686002	-.00041800001	-1.2491	-.14685	-.87335998	-.10348	-.52548999	.14799
16	1	.010478	.055231001	.042401001	-.0004478	-1.2375	-.1515	-.91324002	-.1109	-.50093001	.14632
17	1	.0080054002	.055195	.042629	-.0004478	-1.3053	-.14951	-.88654	-.10874	-.54321003	.14816999
18	1	.0076067001	.056518	.038513999	-.00040300001	-1.2553	-.15829	-.89686	-.1122	-.54653001	.14719
19	1	.0099277003	.056026001	.040713001	-.00042950001	-1.2153	-.14954001	-.85180998	-.10652	-.57767999	.14994
20	1	.0090599004	.054439001	.043370999	-.00045799999	-1.3188	-.15572999	-.90579998	-.10512	-.53091002	.14647999
21	1	.0087842997	.056368001	.035076	-.00036579999	-1.2979	-.1455	-.90184999	-.10128	-.55132002	.14283
22	1	.0075854999	.058426999	.039032999	-.000413	-1.247	-.14548001	-.90439999	-.11014	-.49687001	.14582001
23	1	.010537	.05638	.043551002	-.0004581	-1.3319	-.15838	-.92918998	-.11296	-.54435003	.14691
24	1	.0095057003	.057477001	.040771998	-.00043300001	-1.3109	-.16062	-.91487002	-.11394	-.52113003	.1436
25	1	.0089031998	.056173999	.040408	-.0004247	-1.2837	-.15908	-.90035999	-.11138	-.61176002	.14721
26	1	.0080383997	.057686001	.042369999	-.000447	-1.2196	-.14957	-.87597001	-.10067	-.56873	.149
27	1	.0086251004	.057078	.040906999	-.00042739999	-1.2683001	-.15424	-.88646001	-.11119	-.54067999	.14218
28	1	.0096429996	.058120999	.036329001	-.00037709999	-1.2774	-.1497	-.88033003	-.1121	-.50319999	.14687
29	1	.010229	.054871	.042730998	-.0004553	-1.2862999	-.15024	-.91733003	-.10403	-.52311999	.14586
30	1	.0088315001	.058178	.036400001	-.00038089999	-1.2828	-.14576	-.91412002	-.1019	-.54923999	.14584
31	1	.0098515004	.056439999	.036621001	-.00038700001	-1.2733999	-.15301999	-.90017998	-.1065	-.54101002	.14566
32	1	.0082839997	.058357	.042631999	-.00045250001	-1.2438	-.14948	-.90706998	-.10986	-.53702003	.14617001
33	1	.0088686002	.056910001	.040449999	-.0004237	-1.2057	-.15211	-.89731002	-.10384	-.56050998	.14813
34	1	.0082940999	.057741001	.039058998	-.00041159999	-1.2395999	-.14587	-.87208003	-.10341	-.5575	.14534999
35	1	.010509	.056175001	.042357001	-.0004509	-1.2336	-.15004	-.87173003	-.10279	-.60075003	.14714
36	1	.0099956002	.055497002	.040171999	-.00042249999	-1.2723	-.15519001	-.89304	-.11272	-.66404003	.14348
37	1	.0085190004	.054984	.041777998	-.0004428	-1.2567	-.14238	-.92095	-.10201	-.55655998	.14711
38	1	.009362	.054869998	.039687999	-.0004207	-1.2862	-.15353	-.94779003	-.10888	-.57754999	.14466999
39	1	.0096404999	.056589	.040662002	-.00042950001	-1.2224	-.14726999	-.92708999	-.10754	-.56294	.14661001
40	1	.010885	.054448999	.036773998	-.00039160001	-1.2676001	-.15267999	-.97114998	-.10659	-.56853998	.14397
41	1	.0098056002	.053521998	.040939	-.0004318	-1.3036	-.15663999	-.90581	-.1053	-.56005001	.14365
42	1	.0097195003	.054997001	.041802	-.000443	-1.1953	-.1487	-.90566999	-.10524	-.58521998	.14857
43	1	.010094	.054536	.039786	-.00042220001	-1.2296	-.13886	-.90017003	-.10435	-.57314998	.14498
44	1	.010708	.056244001	.038171999	-.00040739999	-1.3242	-.14126	-.94322997	-.10375	-.58394003	.14533
45	1	.0092318002	.060061	.037758999	-.00039930001	-1.3246	-.15543	-.92763001	-.11935	-.54277998	.14591999
46	1	.010182	.056108002	.036665	-.00038380001	-1.2523	-.14639001	-.90241998	-.10784	-.55518001	.14515001
47	1	.011328	.053964999	.040387999	-.000428	-1.2579	-.15191001	-.92474997	-.10564	-.54526001	.14361
48	1	.0089638	.054136999	.038552999	-.0004125	-1.2964	-.14092	-.98567998	-.10313	-.55474001	.14554
49	1	.0095459996	.055442002	.037886001	-.00039989999	-1.304	-.15446	-.92646003	-.10795	-.56992	.14599
50	1	.011145	.057461999	.040066998	-.00042319999	-1.3105	-.15470999	-.92510998	-.11222	-.51567	.14562
51	1	.0096624	.055314999	.043699	-.0004666	-1.2335	-.12995	-.86703002	-.10029	-.62010998	.14693999
52	1	.0097069005	.056281	.040022001	-.00042170001	-1.2385	-.14913	-.90065998	-.11182	-.60720998	.1446
53	1	.0083267996	.055367999	.039303999	-.00041149999	-1.2895	-.14128	-.90152001	-.10737	-.58332002	.14262
54	1	.0084830001	.054650001	.039974999	-.00042140001	-1.2522	-.14905	-.89736003	-.10436	-.61852002	.14445999
55	1	.0089547997	.053916	.039616998	-.0004169	-1.3015	-.15455	-.86886001	-.10257	-.56064999	.14435001
56	1	.0099371998	.056325	.04053	-.0004276	-1.2328	-.15553001	-.90574998	-.11086	-.55186999	.14394
57	1	.0085648	.056430001	.043143	-.00045369999	-1.2835	-.15598001	-.93447	-.11112	-.56836998	.14410999
58	1	.0091843996	.055794001	.036940999	-.00038839999	-1.2495	-.14208999	-.90474999	-.10193	-.56032997	.14645
59	1	.0099999998	.054662999	.039461002	-.00042	-1.2484	-.14052001	-.92657	-.10096	-.60674	.14474
60	1	.0089523001	.056626	.041219	-.0004362	-1.2604001	-.14603999	-.90491003	-.10603	-.55681998	.14339
61	1	.0087091001	.055360001	.043685	-.00045799999	-1.2464	-.15837	-.87619001	-.11142	-.60371	.14589
62	1	.010135	.056547001	.038453002	-.0004054	-1.3516001	-.14161	-.88814998	-.10076	-.52469999	.14641
63	1	.0091735004	.054497	.038688	-.00040749999	-1.3111	-.14882	-.90226001	-.10354	-.53546	.14538001
64	1	.0091794003	.058763001	.035204001	-.00036599999	-1.2486	-.15350001	-.91170001	-.10944	-.48567	.14656
65	1	.0088775	.054203	.042394001	-.00044520001	-1.2869	-.15368	-.87769997	-.10804	-.58680999	.14424001
66	1	.0089999996	.054784	.041205	-.00043429999	-1.2624	-.14409	-.92566001	-.10277	-.53237998	.14560001
67	1	.0086669996	.053373002	.042142998	-.00044559999	-1.2725	-.15195	-.93520999	-.10515	-.58121997	.14202
68	1	.010688	.055332001	.040369999	-.00042520001	-1.2226	-.16082001	-.90609998	-.11272	-.56997001	.14368001
69	1	.0094263004	.055009998	.040305998	-.00042560001	-1.2136	-.15532	-.92044997	-.11188	-.50647002	.14358
70	1	.0091581	.056012001	.039871	-.0004168	-1.2849	-.15162	-.89381999	-.10936	-.57012999	.14293
71	1	.0095512997	.055739999	.038949002	-.00041030001	-1.2426	-.15429001	-.91833001	-.1049	-.59522998	.14232001
72	1	.01095	.056426998	.043317001	-.0004588	-1.3591	-.15289	-.88339001	-.10506	-.53209001	.14733
73	1	.0088908998	.055367999	.040989	-.00043449999	-1.2294	-.14706001	-.87807	-.1033	-.51315999	.14787
74	1	.009749	.056132	.039985001	-.00042299999	-1.3076	-.14918	-.91319001	-.10547	-.61491001	.14431
75	1	.0093746996	.057783999	.037377	-.0003936	-1.3349	-.14836	-.87479001	-.1042	-.53183001	.14815
76	1	.011294	.054710999	.037059002	-.00038849999	-1.2684	-.15572999	-.91573	-.11115	-.51365	.14473
77	1	.0091471998	.055293001	.041544002	-.00044269999	-1.3544	-.15184	-.93840998	-.10932	-.52403003	.14139
78	1	.0081446003	.057565998	.040153001	-.00042530001	-1.3054	-.14392	-.93006998	-.098141998	-.55747998	.14587
79	1	.0086634997	.055868998	.039600998	-.000421	-1.2419	-.15008	-.89776999	-.10261	-.53798002	.14642
80	1	.010139	.055973999	.038252	-.0004048	-1.274	-.15692	-.96477002	-.11496	-.52504998	.14236
81	1	.010366	.055904001	.038894001	-.00041050001	-1.285	-.15356	-.93071997	-.11391	-.54830003	.14686
82	1	.0093932999	.055	.035822	-.00038030001	-1.3072	-.14951999	-.92429	-.10763	-.53170002	.14463
83	1	.0099745002	.052530002	.037191998	-.00038839999	-1.3433	-.14727999	-.93090999	-.1098	-.59819001	.14466
84	1	.0087579004	.055179998	.037696	-.00039599999	-1.2887	-.15578	-.89595002	-.10775	-.57832003	.14396
85	1	.0087869996	.055523999	.039979	-.00042540001	-1.3103	-.15192001	-.99763	-.11653	-.60781002	.14352
86	1	.0098930998	.054338999	.038169999	-.00039830001	-1.3098	-.15515	-.88328999	-.10818	-.55852997	.14438
87	1	.010997	.056719001	.039731	-.0004203	-1.3096	-.15666001	-.88479	-.10797	-.54759997	.14744
88	1	.010359	.054644	.034722999	-.0003703	-1.2938	-.14734	-.93545002	-.10476	-.58811998	.14565
89	1	.0083088996	.057606999	.041462	-.00043700001	-1.2995	-.16042	-.94037002	-.1154	-.56840998	.14559001
90	1	.0092390999	.055367	.038713001	-.00040409999	-1.2112	-.14320999	-.90979999	-.10453	-.54895997	.14652
91	1	.0097086001	.053982001	.039930999	-.000424	-1.3425	-.15154999	-.93159002	-.10981	-.56110001	.14251
92	1	.0093967998	.051553	.039423998	-.000413	-1.2501	-.15832999	-.93330997	-.10704	-.58507001	.14384
93	1	.0093071004	.056986	.038378	-.00040389999	-1.2631	-.14668	-.89807999	-.1079	-.54092997	.14455
94	1	.0092580998	.056285001	.040476002	-.00042990001	-1.2632999	-.15193	-.88762999	-.10417	-.57969999	.1455
95	1	.0092765996	.054620001	.039469998	-.00041499999	-1.2966	-.15437999	-.89051998	-.11352	-.58986998	.14647999
96	1	.01092	.05658	.040463001	-.00043079999	-1.2203	-.15558	-.89993	-.11209	-.57357001	.14729001
97	1	.0099502001	.057062998	.043680001	-.0004624	-1.3059	-.14774001	-.86940002	-.10777	-.54751003	.14757
98	1	.0082764998	.057355002	.040468	-.0004313	-1.2984	-.15074	-.93566	-.10583	-.54891002	.14605001
99	1	.0092794998	.055877	.039253	-.00041139999	-1.3094	-.14534999	-.91609001	-.10152	-.54141003	.14529
100	1	.0097118001	.055569001	.042845	-.00045379999	-1.3225	-.14779	-.94301999	-.10476	-.52868003	.14397
0	2	.013867	.053213	.026743	-.0002833	0	0	-.62303001	-.085336	-.26572999	.14238
1	2	.013176	.053424999	.02843	-.00030370001	0	0	-.53083003	-.092903003	-.25501001	.14331
2	2	.014942	.054593999	.026446	-.00028179999	0	0	-.59008002	-.083172001	-.24741	.14602
3	2	.014486	.053204998	.027815999	-.0002949	0	0	-.54297	-.083347999	-.24989	.14247
4	2	.012962	.055948999	.025581	-.00026949999	0	0	-.52964002	-.087690003	-.26288	.14431
5	2	.013161	.053863999	.024706	-.0002598	0	0	-.58135998	-.080656998	-.2353	.14226
6	2	.015970999	.052108001	.026427999	-.00028010001	0	0	-.57925999	-.086066	-.26826	.14387
7	2	.014548	.054216001	.027385	-.00029210001	0	0	-.53795999	-.085453004	-.24811999	.14132001
8	2	.015343	.054063998	.026024999	-.00027379999	0	0	-.58348	-.087635003	-.23985	.14373
9	2	.016077001	.053321999	.025517	-.00026979999	0	0	-.58222002	-.085914001	-.25391999	.14207
10	2	.015436	.054235	.028473999	-.00030700001	0	0	-.56204998	-.084925003	-.24727	.14255001
11	2	.014995	.054737002	.025634	-.00026949999	0	0	-.54455	-.082952	-.23691	.14638001
12	2	.01382	.052712999	.025478	-.00027230001	0	0	-.58806998	-.086699001	-.24646001	.14300001
13	2	.015243	.052531999	.028209999	-.00029950001	0	0	-.59171999	-.086887002	-.2502	.14123
14	2	.013645	.052352998	.027034	-.00028470001	0	0	-.61685002	-.081294999	-.26944	.14264999
15	2	.014153	.054072	.025617	-.00027240001	0	0	-.54298002	-.089432999	-.24693	.14500999
16	2	.015231	.053845	.026333001	-.00027640001	0	0	-.55252999	-.078737997	-.24557	.14523
17	2	.016636999	.051941	.028871	-.0003093	0	0	-.68717003	-.082447998	-.23073	.1415
18	2	.014779	.054614	.027371	-.0002946	0	0	-.59037	-.083936997	-.23910999	.1428
19	2	.013956	.053327002	.031452999	-.0003398	0	0	-.57748997	-.087081999	-.24195001	.14500999
20	2	.014756	.053412002	.02593	-.00027339999	0	0	-.60250002	-.083410002	-.24741	.14427
21	2	.014062	.054184001	.026588	-.00028370001	0	0	-.65849	-.091972001	-.25942001	.14215
22	2	.014926	.051227	.026533	-.00028179999	0	0	-.59583002	-.081570998	-.24349999	.14365
23	2	.014031	.054398999	.025883	-.0002749	0	0	-.62194002	-.084478997	-.24665999	.14573
24	2	.016519001	.053647	.025394	-.00027059999	0	0	-.55886	-.079310998	-.22666	.1434
25	2	.016240001	.053555001	.023196001	-.0002422	0	0	-.54527998	-.085837997	-.22679999	.14735
26	2	.015242	.053532001	.026063001	-.0002755	0	0	-.56383002	-.082663998	-.24025001	.14437
27	2	.014446	.05438	.02562	-.00027310001	0	0	-.57419002	-.085871004	-.25380999	.14291
28	2	.013744	.05235	.027238	-.00029	0	0	-.63055003	-.090503	-.25202999	.14362
29	2	.012494	.053952999	.024706	-.00025429999	0	0	-.60005999	-.091963001	-.28920001	.14476
30	2	.015289	.054356001	.026476	-.00028139999	0	0	-.56408	-.085095003	-.25285	.1441
31	2	.014432	.053617999	.025249001	-.0002669	0	0	-.54554999	-.082734004	-.24242	.14251
32	2	.014051	.053293999	.024536001	-.00025770001	0	0	-.69983	-.083861001	-.25444999	.14503001
33	2	.015594	.054175999	.025345	-.00027059999	0	0	-.54995	-.079411	-.23838	.14476
34	2	.015103	.053576998	.027363	-.0002937	0	0	-.52653998	-.079341002	-.24172001	.14343999
35	2	.01438	.053945001	.025681	-.00026989999	0	0	-.62264001	-.082246996	-.24988	.14259
36	2	.013945	.052869	.025204999	-.00026299999	0	0	-.62935001	-.081873	-.24375001	.14263999
37	2	.015867	.052701	.027015001	-.00028879999	0	0	-.58519	-.083697997	-.25343001	.1434
38	2	.014202	.052850001	.026288999	-.0002789	0	0	-.60731	-.082534	-.24672	.14463
39	2	.015168	.053489	.025832999	-.00027590001	0	0	-.54359001	-.084487997	-.24976	.14258
40	2	.015205	.054637	.023047	-.000237	0	0	-.57086998	-.084118001	-.24468	.14471
41	2	.014729	.052859999	.030227	-.00032580001	0	0	-.58836001	-.085647002	-.25859001	.14289001
42	2	.015141	.055599999	.025799001	-.00027439999	0	0	-.57945001	-.083797999	-.24423	.14467999
43	2	.014137	.055397999	.026296001	-.0002758	0	0	-.61717999	-.087490998	-.22274999	.14329
44	2	.014476	.052521002	.027922999	-.00029590001	0	0	-.64068002	-.089101002	-.26578	.14295
45	2	.014313	.054676	.025338	-.00027220001	0	0	-.57354999	-.090278	-.25707	.14113
46	2	.015586	.051897999	.026195001	-.0002827	0	0	-.66170001	-.082167998	-.23406	.14383
47	2	.014328	.053256001	.025436001	-.00026959999	0	0	-.61368001	-.082881004	-.23871	.14506
48	2	.014271	.052722	.027474999	-.00029230001	0	0	-.58872998	-.085329004	-.26826	.1426
49	2	.014049	.054570001	.022986	-.0002408	0	0	-.53492999	-.085676	-.22936	.14461
50	2	.016573001	.052517001	.027316	-.0002909	0	0	-.54325002	-.082203001	-.26980001	.14403
51	2	.015162	.052308999	.028233999	-.00030099999	0	0	-.58253998	-.084183998	-.26300001	.14320999
52	2	.012829	.054173999	.026728	-.00028040001	0	0	-.58476001	-.086374	-.26988	.14527
53	2	.016077001	.054435998	.026587	-.00028189999	0	0	-.62642002	-.088252999	-.26214001	.14647999
54	2	.014697	.052648	.025746999	-.00027359999	0	0	-.64241999	-.086915001	-.24579	.14236
55	2	.015256	.052007001	.028325001	-.0003018	0	0	-.59447002	-.087103002	-.24293999	.14475
56	2	.015467	.052267	.027865	-.0002976	0	0	-.57221001	-.083302997	-.25046	.14348
57	2	.014038	.053985	.024614999	-.00025889999	0	0	-.59823	-.0876	-.24629	.14495
58	2	.016248999	.053884	.023798	-.00025000001	0	0	-.58639997	-.092481002	-.24719	.14514001
59	2	.014538	.054494999	.025412999	-.00026860001	0	0	-.57920998	-.082483999	-.25512999	.14519
60	2	.01313	.053723998	.026419001	-.00027660001	0	0	-.67177999	-.092811003	-.23126	.14375
61	2	.013777	.054517001	.025319001	-.00026649999	0	0	-.54325998	-.079510003	-.25553	.14534999
62	2	.013538	.053459998	.027897	-.0002983	0	0	-.59641999	-.083371997	-.26244	.14387999
63	2	.013198	.053185001	.026399	-.00027759999	0	0	-.51786	-.089318	-.27458999	.14567
64	2	.015593	.053298999	.028597999	-.00030399999	0	0	-.61221999	-.088600002	-.25903001	.14358
65	2	.014332	.054942999	.026559001	-.00028400001	0	0	-.56936002	-.080286004	-.24439999	.14341
66	2	.016298	.053112999	.024815001	-.0002631	0	0	-.54874003	-.082525	-.24089	.14365999
67	2	.014295	.054044001	.02688	-.00028979999	0	0	-.62726003	-.083166003	-.26677001	.14595
68	2	.013489	.052056	.025460999	-.000267	0	0	-.59521002	-.083286002	-.25705999	.14127
69	2	.015038	.053119	.025683001	-.00027320001	0	0	-.62365001	-.087661996	-.24985	.14515001
70	2	.015046	.053644001	.028822999	-.00030889999	0	0	-.54124999	-.083024003	-.23718999	.14534999
71	2	.013562	.055018999	.026652999	-.00028370001	0	0	-.58414	-.086271003	-.24879	.14215
72	2	.014406	.053638	.026051	-.0002752	0	0	-.57495999	-.081988998	-.2701	.14397
73	2	.015032	.053932	.026830001	-.0002863	0	0	-.61383998	-.078790002	-.2351	.14599
74	2	.015418	.051964998	.027442001	-.00028790001	0	0	-.58662999	-.081142001	-.22043	.14153001
75	2	.014218	.053755999	.027385	-.00028959999	0	0	-.60995001	-.08117	-.24981999	.14511
76	2	.014744	.054846	.025934	-.00027990001	0	0	-.62769997	-.089328997	-.25231001	.14320999
77	2	.012586	.053569	.026955999	-.0002826	0	0	-.63660997	-.093818001	-.26973	.1409
78	2	.016192	.052441001	.026325	-.00028080001	0	0	-.61265999	-.084879003	-.24553999	.1451
79	2	.015177	.052150998	.025448	-.00026609999	0	0	-.58556002	-.093676001	-.26980001	.14035
80	2	.01457	.054303002	.024269	-.00025720001	0	0	-.62212002	-.082929	-.24534	.14331
81	2	.014797	.054111999	.025279	-.0002674	0	0	-.56576997	-.092964001	-.26236001	.14456999
82	2	.013581	.053135	.025619	-.00026470001	0	0	-.68373001	-.085184	-.24488001	.14339
83	2	.015693	.052138999	.028259	-.00030350001	0	0	-.60402	-.081177004	-.23096	.14499
84	2	.013809	.054901	.027628999	-.00029500001	0	0	-.63203001	-.086053997	-.219	.14379001
85	2	.01498	.053931002	.024664	-.00025829999	0	0	-.59811997	-.092991002	-.23276	.14487
86	2	.013336	.054852001	.026797	-.00027970001	0	0	-.66000998	-.088574	-.26019001	.14511
87	2	.014676	.052345999	.024752	-.00026170001	0	0	-.60587001	-.086075	-.27709001	.14268
88	2	.015135	.052967999	.027298	-.00029210001	0	0	-.59578001	-.089364998	-.25913	.14393
89	2	.015365	.051587999	.025335001	-.0002672	0	0	-.60514998	-.083070002	-.26495001	.14274999
90	2	.013827	.053580999	.027435999	-.00028889999	0	0	-.59246999	-.090829	-.26905999	.14359
91	2	.01461	.053247999	.025010001	-.00026530001	0	0	-.63897997	-.077425003	-.23322999	.14255001
92	2	.014467	.053497002	.025855999	-.0002793	0	0	-.54091001	-.082791001	-.23492999	.14324
93	2	.012001	.054765999	.028019	-.00029880001	0	0	-.61866999	-.085936002	-.27153999	.14076
94	2	.015221	.053614002	.027846999	-.00029600001	0	0	-.64658999	-.084422	-.25025001	.14496
95	2	.014573	.054152001	.025944	-.0002753	0	0	-.55782998	-.086974002	-.26100001	.14072999
96	2	.015799999	.053033002	.025699001	-.00027419999	0	0	-.60162997	-.086097002	-.26383001	.14196999
97	2	.015683001	.053574	.026334001	-.00028119999	0	0	-.58797997	-.083757997	-.24203999	.1443
98	2	.015518	.054255001	.021717001	-.000226	0	0	-.59222001	-.084932998	-.24044999	.14320999
99	2	.01515	.054140002	.024467999	-.00026	0	0	-.59539998	-.086384997	-.25477999	.14508
100	2	.013845	.054460999	.027908999	-.00029950001	0	0	-.55612999	-.086272001	-.26144999	.14551
0	3	.016878	.049568001	.040615998	-.00041470001	-.97799999	-.17662001	-.52471	-.12775999	-.42374	.12537
1	3	.016088	.050492998	.039569002	-.00039900001	-.96193999	-.17689	-.51393002	-.12651999	-.43528	.12585001
2	3	.01701	.050046001	.039944001	-.00040789999	-.96629	-.17472	-.52991998	-.12766001	-.43577	.12299
3	3	.016487001	.051204	.040904	-.00042180001	-.97008997	-.17400999	-.52474999	-.12944999	-.38139999	.12537
4	3	.017263999	.049302001	.041903	-.00043029999	-.99488002	-.18698999	-.52024001	-.13016	-.40689999	.12545
5	3	.017166	.048941001	.039585002	-.0004016	-.98337001	-.17163999	-.52607	-.13033	-.4237	.12614
6	3	.016762	.048273999	.040982999	-.0004168	-.92254001	-.16903	-.51683003	-.12446	-.37932	.126
7	3	.016709	.051495999	.038593002	-.00039179999	-.98447001	-.17815	-.51577002	-.12623	-.41084	.12579
8	3	.017676	.050326999	.038738001	-.00039289999	-1.097	-.17978001	-.52158999	-.12678	-.42300001	.12632
9	3	.016723	.048422001	.041935999	-.0004279	-.95466	-.16987	-.51955998	-.12265	-.39848	.12532
10	3	.015557	.049488999	.040545002	-.00041380001	-1.0106	-.18638	-.53523999	-.13135	-.43316999	.12529001
11	3	.016105	.049642	.042004	-.00042960001	-1.0647	-.18381999	-.52038002	-.12789001	-.44005001	.12597001
12	3	.0167	.04868	.04019	-.00041060001	-.97156	-.17144001	-.53026998	-.12887999	-.42166001	.1266
13	3	.017158	.049711	.040775001	-.00041579999	-.94024003	-.17178001	-.51199001	-.12342	-.41574001	.12491
14	3	.017386001	.049690001	.039156001	-.0003977	-1.01	-.18769	-.53205001	-.13192999	-.39974001	.12558
15	3	.017326999	.048820999	.043439999	-.00044549999	-.95252001	-.17646	-.51896	-.12672	-.41033	.12594
16	3	.017457001	.049205001	.041457001	-.00042329999	-1.012	-.17929	-.52553999	-.13147999	-.405	.12553
17	3	.017523	.050133001	.038704	-.00039480001	-.94532001	-.17948	-.52546	-.12718999	-.38861001	.12643
18	3	.017557999	.049920999	.038998999	-.00039880001	-1.0203	-.17926	-.52284002	-.12955	-.42974001	.12552001
19	3	.015444	.050094999	.042031001	-.0004284	-1.035	-.1821	-.53570998	-.13138001	-.42897999	.12723
20	3	.017177001	.050283998	.041760001	-.00043049999	-1.0064	-.17358001	-.51956999	-.12802	-.43204001	.12552001
21	3	.016708	.049718998	.043641999	-.00044870001	-.97601002	-.17721	-.51464999	-.12733001	-.41777	.12574001
22	3	.017983999	.05015	.040660001	-.0004162	-.94865	-.17749	-.51734	-.13026001	-.37421	.12541001
23	3	.01596	.049400002	.039062999	-.00039910001	-1.0424	-.17640001	-.51937997	-.1294	-.40937999	.12636
24	3	.016098	.050206002	.039494999	-.0004045	-1.0314	-.18189999	-.52319002	-.13043	-.41220999	.12531
25	3	.016801	.051304001	.039781	-.00040700001	-.91869998	-.17177001	-.52476001	-.12972	-.42945001	.12658
26	3	.018263999	.049605001	.040844001	-.0004198	-.93510997	-.16914999	-.50917	-.12326	-.42763001	.12504999
27	3	.017812001	.049286	.042833	-.00044	-.93333	-.17433999	-.52113003	-.13144	-.42030001	.12720001
28	3	.017344	.051132001	.039235	-.0004011	-.9472	-.17928	-.52517003	-.13041	-.38071001	.12531
29	3	.015773	.051798999	.039951999	-.0004089	-.93651998	-.17168	-.51318002	-.12366	-.40825999	.12648
30	3	.017879	.048549999	.042266998	-.00043389999	-.95479	-.17470001	-.51788998	-.13109	-.4082	.12620001
31	3	.016830999	.050237	.040502001	-.00041199999	-.96799999	-.17069	-.51954001	-.12777001	-.38999	.12621
32	3	.017886	.048900001	.039889999	-.00040329999	-.96030003	-.18288	-.51199001	-.13168	-.39883	.12695
33	3	.016279999	.050067	.040212002	-.00041099999	-1.0239	-.17964999	-.52026999	-.13014001	-.45897001	.12792
34	3	.017397	.051374	.038564999	-.00039289999	-.96967	-.17939	-.50386	-.12108	-.38874999	.12808
35	3	.016239	.049738999	.040539	-.000413	-.93260002	-.16719	-.52486002	-.12441	-.42829001	.12558
36	3	.015898	.050312001	.039875999	-.0004046	-.98465002	-.16835999	-.51824999	-.12685999	-.43250999	.12547
37	3	.016962999	.049731001	.039901	-.0004054	-.96135002	-.17635	-.50599998	-.12794	-.41637999	.12471
38	3	.016073	.049858	.040708002	-.0004169	-1.0398999	-.18312	-.51867998	-.13330001	-.40031001	.12672
39	3	.017349999	.051270001	.041191999	-.0004238	-.88293999	-.16572	-.51055002	-.12408	-.39109999	.12740999
40	3	.016008999	.049789999	.040482	-.00041499999	-1.0361	-.17737	-.52345002	-.1268	-.40397999	.12631001
41	3	.017733	.049454	.040745001	-.00041879999	-1.0671999	-.17952999	-.50975001	-.12509	-.39423001	.12657
42	3	.016783001	.048645001	.039496001	-.00040300001	-1.0511	-.18337999	-.52901	-.12712	-.37582999	.12732001
43	3	.017944001	.049678002	.039386	-.00040320001	-.93778002	-.17033	-.52377999	-.12517001	-.43922001	.12543
44	3	.017731	.049107999	.040476002	-.00041360001	-.94439	-.17501	-.51832998	-.12826	-.40928	.12548999
45	3	.015617	.051886	.039914999	-.00040709999	-.94656998	-.18282001	-.52326	-.13084	-.38389	.12493
46	3	.016654	.049741	.042234	-.00043409999	-1.0163	-.18006	-.51871002	-.12709001	-.42412999	.12521
47	3	.016643999	.049729001	.03712	-.0003751	-1.0669	-.18577	-.52810001	-.12748	-.43586999	.12662999
48	3	.016422	.049956001	.039875001	-.00040670001	-.98964	-.17163	-.51334	-.12642001	-.39410001	.12544
49	3	.016589999	.050053	.039322	-.00040059999	-.98615998	-.17929	-.53307998	-.12983	-.38981	.12391
50	3	.017130001	.049252	.039347999	-.000398	-.9849	-.17897999	-.52433997	-.12843999	-.37028	.12769
51	3	.016674999	.049749002	.038942002	-.0003976	-1.0382	-.18460999	-.52632999	-.12851	-.42245001	.12513
52	3	.016116001	.050886001	.043032002	-.00044100001	-.99983001	-.18553001	-.51569003	-.13072	-.36717999	.12617999
53	3	.016138	.050787002	.038440999	-.00039060001	-1.0420001	-.18346	-.51441997	-.12987	-.41909	.12594
54	3	.015246	.049995001	.040047999	-.00040610001	-.99311	-.17733	-.52037001	-.12972	-.42082	.125
