,edu,exp,id,mar,offer,owage,time,work
119,1,1,23,0,0,-inf,4,0
120,1,0,24,0,0,3595.8411984960917,0,0
121,1,0,24,0,0,4308.453296210271,1,0
122,1,0,24,0,0,4806.106736327312,2,0
123,1,0,24,0,0,19071.865003991486,3,0
124,1,0,24,0,0,-inf,4,0
125,1,0,25,0,0,320961.1326282348,0,0
126,1,0,25,0,0,27499.129792883814,1,0
127,1,0,25,0,0,209439.52641924232,2,0
128,1,0,25,0,0,14785.87999140363,3,0
129,1,0,25,0,0,-inf,4,0
130,1,0,26,0,0,79272.6060861703,0,0
131,1,0,26,0,0,33064.51150050542,1,0
132,1,0,26,0,0,58254.58326219924,2,0
133,1,0,26,0,0,4369.557977782814,3,0
134,1,0,26,0,0,-inf,4,0
135,1,0,27,0,0,11545.505393442843,0,0
136,1,0,27,0,0,179151.93617368548,1,0
137,1,0,27,0,1,180696.49485034798,2,1
138,1,1,27,0,1,64722.92707099374,3,0
139,1,1,27,0,0,-inf,4,0
140,1,0,28,0,1,33643.20926707711,0,1
141,1,1,28,0,1,21359.136131729272,1,0
142,1,1,28,0,0,5965.498890869528,2,0
143,1,1,28,0,0,14723.956969044817,3,0
144,1,1,28,0,0,-inf,4,0
145,1,0,29,0,0,104543.53733708597,0,0
146,1,0,29,0,0,272470.15824381507,1,0
147,1,0,29,0,0,40238.01291778689,2,0
148,1,0,29,0,0,2848.639183811171,3,0
149,1,0,29,0,0,-inf,4,0
150,2,0,30,1,0,114616.0723034814,0,0
151,2,0,30,1,0,115643.59431229357,1,0
152,2,0,30,1,0,19513.205446920347,2,0
153,2,0,30,1,0,14593.33954532982,3,0
154,2,0,30,1,0,-inf,4,0
155,2,0,31,1,1,5710.370863120626,0,0
156,2,0,31,1,0,6161.552251521783,1,0
157,2,0,31,1,0,7388.3345516086565,2,0
158,2,0,31,1,1,54031.748752897714,3,1
159,2,1,31,1,0,-inf,4,0
160,2,0,32,1,1,74130.61212075669,0,1
161,2,1,32,1,1,1089183.3170196814,1,1
162,2,2,32,1,1,8924.632864985399,2,0
163,2,2,32,1,1,166275.2607277171,3,1
164,2,3,32,1,0,-inf,4,0
165,2,0,33,1,1,49567.91159893339,0,0
166,2,0,33,1,0,626507.8774354269,1,0
167,2,0,33,1,0,189957.93171000332,2,0
168,2,0,33,1,0,95623.47959799814,3,0
169,2,0,33,1,0,-inf,4,0
170,2,0,34,1,0,54266.377508757636,0,0
171,2,0,34,1,0,88732.93186869155,1,0
172,2,0,34,1,0,15309.388781072132,2,0
173,2,0,34,1,0,79575.1819045893,3,0
174,2,0,34,1,0,-inf,4,0
175,2,0,35,1,1,48790.0698420193,0,1
176,2,1,35,1,1,53021.31384306666,1,1
177,2,2,35,1,1,13417.811765404418,2,0
178,2,2,35,1,1,91164.82706503473,3,0
179,2,2,35,1,0,-inf,4,0
180,2,0,36,1,0,29809.311038057105,0,0
181,2,0,36,1,0,12807.01332503005,1,0
182,2,0,36,1,0,14476.535145604548,2,0
183,2,0,36,1,1,28868.6277433706,3,1
184,2,1,36,1,0,-inf,4,0
185,2,0,37,1,1,73341.77240494869,0,1
186,2,1,37,1,1,20496.631282284525,1,0
187,2,1,37,1,1,25645.13291457323,2,0
188,2,1,37,1,0,105255.64192282918,3,0
189,2,1,37,1,0,-inf,4,0
190,2,0,38,1,0,11207.521638983468,0,0
191,2,0,38,1,0,42361.527349240576,1,0
192,2,0,38,1,1,94124.88612710458,2,1
193,2,1,38,1,1,16898.712254138245,3,1
194,2,2,38,1,0,-inf,4,0
195,2,0,39,1,1,61997.465135200284,0,1
196,2,1,39,1,1,22204.76193828414,1,0
197,2,1,39,1,1,8442.27408166678,2,0
198,2,1,39,1,0,4004.7816080410876,3,0
199,2,1,39,1,0,-inf,4,0
200,1,0,40,1,0,3211.945015361288,0,0
201,1,0,40,1,1,25465.128138512686,1,0
202,1,0,40,1,1,16892.12439093695,2,0
203,1,0,40,1,1,5918.124118614916,3,0
204,1,0,40,1,0,-inf,4,0
205,1,0,41,1,0,20847.36837075025,0,0
206,1,0,41,1,1,85907.30997105058,1,1
207,1,1,41,1,1,37385.587835350474,2,1
208,1,2,41,1,1,58383.6960889141,3,1
209,1,3,41,1,0,-inf,4,0
210,1,0,42,1,1,108783.14423940216,0,1
211,1,1,42,1,1,32615.099847402995,1,1
212,1,2,42,1,1,149456.051504548,2,1
213,1,3,42,1,1,7008.878345767631,3,0
214,1,3,42,1,0,-inf,4,0
215,1,0,43,1,0,30180.091072103158,0,0
216,1,0,43,1,0,11438.237320906252,1,0
217,1,0,43,1,1,180992.56414060734,2,0
218,1,0,43,1,0,47833.82736501291,3,0
219,1,0,43,1,0,-inf,4,0
220,1,0,44,1,1,31665.68680499549,0,1
221,1,1,44,1,1,34057.07533140576,1,1
222,1,2,44,1,1,43451.14013744559,2,1
223,1,3,44,1,1,6930.94019308336,3,0
224,1,3,44,1,0,-inf,4,0
225,1,0,45,1,1,24311.903047559008,0,0
226,1,0,45,1,0,7163.8685060988855,1,0
227,1,0,45,1,0,8631.137700394878,2,0
228,1,0,45,1,0,3856.955399618711,3,0
229,1,0,45,1,0,-inf,4,0
230,1,0,46,1,1,30189.68967232715,0,1
231,1,1,46,1,1,83835.2853201229,1,1
232,1,2,46,1,1,14958.42533826122,2,0
233,1,2,46,1,1,55486.20348535704,3,1
234,1,3,46,1,0,-inf,4,0
235,1,0,47,1,0,1558.1743739140866,0,0
236,1,0,47,1,1,18064.96002625853,1,1
237,1,1,47,1,1,111980.75051382097,2,1
238,1,2,47,1,1,14303.489829246495,3,0
239,1,2,47,1,0,-inf,4,0
240,1,0,48,1,1,3272.2493707986555,0,0
241,1,0,48,1,0,36180.047317884695,1,0
242,1,0,48,1,0,27790.270732338835,2,0
243,1,0,48,1,1,44666.35563473967,3,1
244,1,1,48,1,0,-inf,4,0
245,1,0,49,1,0,11697.108027189073,0,0
246,1,0,49,1,1,165002.28441913627,1,1
247,1,1,49,1,1,31357.668350337186,2,0
248,1,1,49,1,0,172303.33756220725,3,0
249,1,1,49,1,0,-inf,4,0
250,2,0,50,0,1,235940.68994250897,0,1
251,2,1,50,0,1,37787.46530734909,1,1
252,2,2,50,0,1,173340.8570241581,2,1
253,2,3,50,0,1,17014.725893857194,3,1
